SLL_nome;sede_op_comune;Conteggio;LOC
CIVIDALE DEL FRIULI;SAN GIOVANNI AL NATISONE;6;Mountain
CIVIDALE DEL FRIULI;FAEDIS;4;Mountain
CIVIDALE DEL FRIULI;PREMARIACCO;4;Mountain
CIVIDALE DEL FRIULI;MOIMACCO;2;Mountain
CIVIDALE DEL FRIULI;CIVIDALE DEL FRIULI;18;Mountain
CIVIDALE DEL FRIULI;MANZANO;13;Mountain
CIVIDALE DEL FRIULI;SAVOGNA;1;Mountain
CIVIDALE DEL FRIULI;CORNO DI ROSAZZO;3;Mountain
CIVIDALE DEL FRIULI;CHIOPRIS VISCONE;2;Mountain
GORIZIA;CORMONS;8;GORIZIA
GORIZIA;GRADISCA D'ISONZO;5;GORIZIA
GORIZIA;MOSSA;1;GORIZIA
GORIZIA;VILLESSE;17;GORIZIA
GORIZIA;MARIANO DEL FRIULI;1;GORIZIA
GORIZIA;SAN FLORIANO DEL COLLIO;1;GORIZIA
GORIZIA;SAVOGNA D'ISONZO;2;GORIZIA
GORIZIA;GORIZIA;61;GORIZIA
GORIZIA;ROMANS D'ISONZO;8;GORIZIA
LATISANA;RIVIGNANO TEOR;7;Coast
LATISANA;PALAZZOLO DELLO STELLA;2;Coast
LATISANA;LATISANA;6;Coast
LATISANA;RONCHIS;1;Coast
LATISANA;LIGNANO SABBIADORO;24;Coast
LATISANA;POCENIA;3;Coast
MANIAGO;MONTEREALE VALCELLINA;2;MANIAGO
MANIAGO;CLAUZETTO;1;MANIAGO
MANIAGO;VIVARO;1;MANIAGO
MANIAGO;MANIAGO;25;MANIAGO
MANIAGO;SPILIMBERGO;24;MANIAGO
MANIAGO;CASTELNOVO DEL FRIULI;1;MANIAGO
MANIAGO;ARBA;2;MANIAGO
MANIAGO;MEDUNO;1;MANIAGO
MANIAGO;SEQUALS;2;MANIAGO
MONFALCONE;MONFALCONE;63;MONFALCONE
MONFALCONE;TURRIACO;3;MONFALCONE
MONFALCONE;FOGLIANO REDIPUGLIA;2;MONFALCONE
MONFALCONE;SAN CANZIAN D'ISONZO;2;MONFALCONE
MONFALCONE;SAN PIER D'ISONZO;1;MONFALCONE
MONFALCONE;RONCHI DEI LEGIONARI;20;MONFALCONE
MONFALCONE;STARANZANO;8;MONFALCONE
PORDENONE;AZZANO DECIMO;13;PORDENONE
PORDENONE;SAN VITO AL TAGLIAMENTO;50;PORDENONE
PORDENONE;CASARSA DELLA DELIZIA;2;PORDENONE
PORDENONE;SACILE;38;PORDENONE
PORDENONE;ZOPPOLA;13;PORDENONE
