q3;q5;qualifica_codice;qualifica;professional_group;PG
1.2.1;1.2.1.1;1.2.1.1.0.0;IMPRENDITORI E AMMINISTRATORI DI GRANDI AZIENDE CHE OPERANO NELL'AGRICOLTURA;manager, entrepreneur;MAN
1.2.1;1.2.1.1;1.2.1.1.0.1;IMPRENDITORE O AMMINISTRATORE DELEGATO DI GRANDE AZIENDA AGRICOLA;manager, entrepreneur;MAN
1.2.1;1.2.1.2;1.2.1.2.0.0;IMPRENDITORI E AMMINISTRATORI DI GRANDI AZIENDE CHE OPERANO NELL'ESTRAZIONE DEI MINERALI;manager, entrepreneur;MAN
1.2.1;1.2.1.2;1.2.1.2.0.10;IMPRENDITORE O AMMINISTRATORE DELEGATO DI GRANDE IMPRESA MANIFATTURIERA;manager, entrepreneur;MAN
1.2.1;1.2.1.2;1.2.1.2.0.2;IMPRENDITORE O AMMINISTRATORE DELEGATO DI GRANDE AZIENDA DEL MOBILE;manager, entrepreneur;MAN
1.2.1;1.2.1.2;1.2.1.2.0.3;IMPRENDITORE O AMMINISTRATORE DELEGATO DI GRANDE AZIENDA DI ATTIVITÀ ESTRATTIVA;manager, entrepreneur;MAN
1.2.1;1.2.1.2;1.2.1.2.0.4;IMPRENDITORE O AMMINISTRATORE DELEGATO DI GRANDE AZIENDA DI COSTRUZIONI MECCANICHE;manager, entrepreneur;MAN
1.2.1;1.2.1.2;1.2.1.2.0.8;IMPRENDITORE O AMMINISTRATORE DELEGATO DI GRANDE IMPRESA DI COSTRUZIONE NAVALE;manager, entrepreneur;NAV
1.2.1;1.2.1.2;1.2.1.2.0.9;IMPRENDITORE O AMMINISTRATORE DELEGATO DI GRANDE IMPRESA DI SERVIZI AMBIENTALI;manager, entrepreneur;MAN
1.2.1;1.2.1.3;1.2.1.3.0.0;IMPRENDITORI E AMMINISTRATORI DI GRANDI AZIENDE DI COSTRUZIONI;manager, entrepreneur;MAN
1.2.1;1.2.1.3;1.2.1.3.0.1;IMPRENDITORE O AMMINISTRATORE DELEGATO DI GRANDE IMPRESA DI COSTRUZIONE EDILE;manager, entrepreneur;MAN
1.2.1;1.2.1.4;1.2.1.4.0.0;IMPRENDITORI E AMMINISTRATORI DI GRANDI AZIENDE NEL COMMERCIO;manager, entrepreneur;MAN
1.2.1;1.2.1.4;1.2.1.4.0.1;IMPRENDITORE O AMMINISTRATORE DELEGATO DI GRANDE ESERCIZIO COMMERCIALE;manager, entrepreneur;MAN
1.2.1;1.2.1.4;1.2.1.4.0.2;IMPRENDITORE O AMMINISTRATORE DELEGATO DI GRANDE ESERCIZIO DI COMMERCIO AL DETTAGLIO;manager, entrepreneur;MAN
1.2.1;1.2.1.4;1.2.1.4.0.3;IMPRENDITORE O AMMINISTRATORE DELEGATO DI GRANDE ESERCIZIO DI VENDITA AL MINUTO;manager, entrepreneur;MAN
1.2.1;1.2.1.4;1.2.1.4.0.4;IMPRENDITORE O AMMINISTRATORE DELEGATO DI GRANDE ESERCIZIO DI VENDITA ALL'INGROSSO;manager, entrepreneur;MAN
1.2.1;1.2.1.5;1.2.1.5.0.0;IMPRENDITORI E AMMINISTRATORI DI GRANDI AZIENDE NEI SERVIZI DI ALLOGGIO E RISTORAZIONE;manager, entrepreneur;MAN
1.2.1;1.2.1.5;1.2.1.5.0.1;IMPRENDITORE O AMMINISTRATORE DELEGATO DI GRANDE ALBERGO;manager, entrepreneur;MAN
1.2.1;1.2.1.5;1.2.1.5.0.3;IMPRENDITORE O AMMINISTRATORE DELEGATO DI GRANDE ESERCIZIO NEI SERVIZI DI RISTORAZIONE;manager, entrepreneur;MAN
1.2.1;1.2.1.6;1.2.1.6.1.0;IMPRENDITORI E AMMINISTRATORI DI GRANDI AZIENDE NEL SETTORE DEI TRASPORTI E MAGAZZINAGGIO;manager, entrepreneur;MAN
1.2.1;1.2.1.6;1.2.1.6.1.3;IMPRENDITORE O AMMINISTRATORE DELEGATO DI GRANDE AZIENDA DI TRASPORTO MARITTIMO;manager, entrepreneur;MAN
1.2.1;1.2.1.6;1.2.1.6.1.4;IMPRENDITORE O AMMINISTRATORE DELEGATO DI GRANDE AZIENDA NEI TRASPORTI E COMUNICAZIONI;manager, entrepreneur;MAN
1.2.1;1.2.1.6;1.2.1.6.1.7;IMPRENDITORE O AMMINISTRATORE DELEGATO DI GRANDI AZIENDE DI MAGAZZINAGGIO E DEPOSITO;manager, entrepreneur;MAN
1.2.1;1.2.1.6;1.2.1.6.1.8;IMPRENDITORE O AMMINISTRATORE DELEGATO DI GRANDI AZIENDE DI TRASPORTO MERCI;manager, entrepreneur;MAN
1.2.1;1.2.1.6;1.2.1.6.2.0;IMPRENDITORI E AMMINISTRATORI DI GRANDI AZIENDE NEI SERVIZI EDITORIALI;manager, entrepreneur;MAN
1.2.1;1.2.1.6;1.2.1.6.3.0;IMPRENDITORI E AMMINISTRATORI DI GRANDI AZIENDE NEI SERVIZI INFORMATICI E DI TELECOMUNICAZIONE;manager, entrepreneur;MAN
1.2.1;1.2.1.6;1.2.1.6.3.2;IMPRENDITORE O AMMINISTRATORE DELEGATO DI GRANDE AZIENDA NEL SETTORE INFORMATICO;manager, entrepreneur;MAN
1.2.1;1.2.1.7;1.2.1.7.0.0;IMPRENDITORI E AMMINISTRATORI DI GRANDI BANCHE;manager, entrepreneur;MAN
1.2.1;1.2.1.7;1.2.1.7.0.2;IMPRENDITORE O AMMINISTRATORE DELEGATO DI GRANDE COMPAGNIA DI ASSICURAZIONE;manager, entrepreneur;MAN
1.2.1;1.2.1.7;1.2.1.7.0.3;IMPRENDITORE O AMMINISTRATORE DELEGATO DI GRANDE GRUPPO IMMOBILIARE;manager, entrepreneur;MAN
1.2.1;1.2.1.7;1.2.1.7.0.4;IMPRENDITORE O AMMINISTRATORE DELEGATO DI GRANDE ISTITUTO DI CREDITO;manager, entrepreneur;MAN
1.2.1;1.2.1.8;1.2.1.8.0.0;IMPRENDITORI E AMMINISTRATORI DI GRANDI AZIENDE NEI SERVIZI ALLE IMPRESE E ALLE PERSONE;manager, entrepreneur;MAN
1.2.1;1.2.1.8;1.2.1.8.0.4;IMPRENDITORE O AMMINISTRATORE DELEGATO DI GRANDE AZIENDA DI CALL CENTER;manager, entrepreneur;MAN
1.2.1;1.2.1.8;1.2.1.8.0.5;IMPRENDITORE O AMMINISTRATORE DELEGATO DI GRANDE AZIENDA DI PULIZIE;manager, entrepreneur;MAN
1.2.1;1.2.1.8;1.2.1.8.0.6;IMPRENDITORE O AMMINISTRATORE DELEGATO DI GRANDE AZIENDA DI VIGILANZA E INVESTIGAZIONE;manager, entrepreneur;MAN
1.2.1;1.2.1.8;1.2.1.8.0.8;IMPRENDITORE O AMMINISTRATORE DELEGATO NEI SERVIZI PER LE IMPRESE;manager, entrepreneur;MAN
1.2.1;1.2.1.9;1.2.1.9.1.1;IMPRENDITORE O AMMINISTRATORE DELEGATO DI GRANDE ISTITUTO DI RICERCA PRIVATO;manager, entrepreneur;MAN
1.2.1;1.2.1.9;1.2.1.9.1.2;IMPRENDITORE O AMMINISTRATORE DELEGATO DI GRANDE ISTITUTO SCOLASTICO PRIVATO;manager, entrepreneur;MAN
1.2.1;1.2.1.9;1.2.1.9.2.0;IMPRENDITORI E AMMINISTRATORI DI GRANDI OSPEDALI;manager, entrepreneur;MAN
1.2.1;1.2.1.9;1.2.1.9.2.1;IMPRENDITORE O AMMINISTRATORE DELEGATO DI GRANDE CLINICA PRIVATA;manager, entrepreneur;MAN
