sede_op_ateco;NACE;NACE_group;Colonna1
01.61.00;01;OTH;
01.41.00;01;OTH;
01.61.00;01;OTH;
01.47.00;01;OTH;
01.61.00;01;OTH;
01.61.00;01;OTH;
01.61.00;01;OTH;
01.63.00;01;OTH;
01.27.00;01;OTH;
01.63.00;01;OTH;
03.21.00;03;OTH;
03.21.00;03;OTH;
10.83.01;10;MAN;
10.72.00;10;MAN;
10.83.01;10;MAN;
10.86.00;10;MAN;
10.13.00;10;MAN;
10.11.00;10;MAN;
10.85.04;10;MAN;
10.83.02;10;MAN;
10.86.00;10;MAN;
10.13.00;10;MAN;
10.85.04;10;MAN;
10.86.00;10;MAN;
10.72.00;10;MAN;
10.61.40;10;MAN;
10.89.09;10;MAN;
10.13.00;10;MAN;
10.73.00;10;MAN;
10.86.00;10;MAN;
10.86.00;10;MAN;
10.83.02;10;MAN;
11.01.00;11;MAN;
11.02.20;11;MAN;
11.02.10;11;MAN;
13.20.0;13;MAN;
13.30.00;13;MAN;
13.20.0;13;MAN;
13.92.20;13;MAN;
13.95.00;13;MAN;
13.92.20;13;MAN;
14.13.10;14;MAN;
14.13.10;14;MAN;
14.13.10;14;MAN;
14.13.20;14;MAN;
15.93.1;15;MAN;
15.83.0;15;MAN;
16.29.20;16;MAN;
16.21.00;16;MAN;
16.23.10;16;MAN;
16.21.00;16;MAN;
16.29.20;16;MAN;
16.21.00;16;MAN;
18.12.00;18;MAN;
18.12.00;18;MAN;
18.12.00;18;MAN;
18.12.00;18;MAN;
18.12.00;18;MAN;
18.12.00;18;MAN;
18.13.00;18;MAN;
18.12.00;18;MAN;
18.12.00;18;MAN;
20.59.40;20;MAN;
20.13.09;20;MAN;
20.30.00;20;MAN;
20.30.00;20;MAN;
20.59.40;20;MAN;
20.30.2;20;MAN;
20.59.40;20;MAN;
20.51.1;20;MAN;
20.51.02;20;MAN;
20.13.09;20;MAN;
20.13.09;20;MAN;
20.42.00;20;MAN;
20.42.00;20;MAN;
20.59.40;20;MAN;
20.30.00;20;MAN;
20.13.09;20;MAN;
20.30.2;20;MAN;
20.41.10;20;MAN;
20.51.02;20;MAN;
20.30.00;20;MAN;
20.59.40;20;MAN;
20.30.2;20;MAN;
-200;-200;OTH;
-200;-200;OTH;
-200;-200;OTH;
-200;-200;OTH;
-200;-200;OTH;
-200;-200;OTH;
-200;-200;OTH;
21.20.09;21;PHA;
21.20.09;21;PHA;
21.10.00;21;PHA;
21.10.00;21;PHA;
21.10.00;21;PHA;
21.10.00;21;PHA;
21.20.09;21;PHA;
21.10.00;21;PHA;
21.20.09;21;PHA;
21.20.09;21;PHA;
21.11.0;21;PHA;
21.20.09;21;PHA;
21.20.09;21;PHA;
21.10.00;21;PHA;
22.29.09;22;MMP;
22.29.09;22;MMP;
22.21.00;22;MMP;
22.22.00;22;MMP;
22.22.00;22;MMP;
22.22.00;22;MMP;
22.21.00;22;MMP;
22.23.09;22;MMP;
22.23.09;22;MMP;
22.29.09;22;MMP;
22.23.09;22;MMP;
22.29.09;22;MMP;
22.29.09;22;MMP;
22.23.09;22;MMP;
22.22.00;22;MMP;
22.29.09;22;MMP;
22.29.09;22;MMP;
22.29.09;22;MMP;
22.29.09;22;MMP;
22.29.09;22;MMP;
22.19.09;22;MMP;
22.22.00;22;MMP;
22.21.00;22;MMP;
23.12.00;23;MMP;
23.61.00;23;MMP;
23.70.20;23;MMP;
23.13.00;23;MMP;
23.61.00;23;MMP;
23.99.00;23;MMP;
23.69.00;23;MMP;
23.61.00;23;MMP;
23.69.00;23;MMP;
23.13.00;23;MMP;
23.70.20;23;MMP;
23.61.00;23;MMP;
23.61.00;23;MMP;
23.61.00;23;MMP;
24.41.0;24;MMP;
24.66.4;24;MMP;
24.10.00;24;MMP;
24.52.00;24;MMP;
24.10.00;24;MMP;
24.10.00;24;MMP;
24.52.00;24;MMP;
