X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
1,1,1,1,1,1,1,1,1,1
2,2,2,2,2,2,2,2,2,2
3,3,3,3,3,3,3,3,3,3
4,4,4,4,4,4,4,4,4,4
5,5,5,5,5,5,5,5,5,5
6,6,6,6,6,6,6,6,6,6
6,6,6,6,7,6,7,6,6,6
7,7,7,7,8,7,8,7,7,7
3,3,3,3,3,3,3,3,3,3
8,8,8,8,9,8,9,8,8,8
8,9,8,8,9,9,9,9,8,8
9,10,9,9,4,4,10,10,9,4
10,4,10,4,10,10,4,11,4,9
11,11,11,10,11,11,11,12,10,10
12,12,12,11,12,12,12,13,11,11
2,2,2,2,2,2,2,2,2,2
8,13,8,8,9,8,9,8,8,8
13,14,13,12,13,13,13,14,12,12
14,15,14,13,14,14,14,15,13,13
15,16,15,14,15,15,15,16,14,14
11,11,11,10,11,11,11,12,10,10
16,17,16,15,16,16,16,17,15,15
5,5,5,5,5,5,5,5,5,5
8,13,8,8,9,8,9,8,8,8
17,18,17,16,17,9,9,9,16,16
17,18,18,15,17,17,17,18,17,16
5,5,5,5,5,5,5,5,5,5
18,19,19,17,18,18,18,19,18,17
8,9,17,8,9,9,9,9,8,8
5,5,5,5,5,5,5,5,5,5
4,20,10,4,10,10,4,4,4,18
19,21,20,18,19,19,19,20,19,19
20,22,21,19,20,20,20,21,20,20
17,18,22,16,17,21,21,22,16,16
21,20,23,16,7,22,7,22,21,21
20,22,21,19,20,20,20,21,20,20
2,23,24,20,2,2,2,2,16,2
16,17,16,15,16,7,16,17,15,15
3,3,3,3,3,3,3,3,3,3
17,18,2,16,17,2,21,2,16,16
7,24,7,7,8,23,22,7,7,22
6,6,6,6,6,6,6,6,6,6
13,14,13,12,13,13,13,14,12,12
9,10,9,9,4,4,10,10,9,4
6,6,6,6,6,6,6,6,6,6
22,25,4,21,21,24,23,23,22,23
17,18,17,16,17,9,9,9,16,16
23,26,22,22,22,21,21,24,23,24
20,22,21,19,20,20,20,21,20,20
12,12,12,11,12,12,12,13,11,11
11,11,11,10,11,11,11,12,10,10
11,11,11,10,11,11,11,12,10,10
13,14,13,12,13,13,13,14,5,5
10,14,25,23,23,25,13,14,24,9
24,27,26,24,24,26,24,25,25,25
12,12,12,11,12,12,12,13,11,11
20,22,21,19,20,20,20,21,20,20
7,24,7,7,8,23,22,7,7,22
17,18,17,16,17,9,9,9,16,16
22,25,4,21,21,24,23,23,22,23
2,23,24,20,2,2,2,2,16,2
21,20,23,16,7,22,7,22,21,21
1,1,1,1,1,1,1,1,1,1
21,20,23,16,7,22,7,22,21,21
24,27,26,24,24,26,24,25,25,25
25,24,1,1,25,23,22,1,1,22
8,13,8,8,9,8,9,8,8,8
16,17,16,15,16,16,16,17,15,15
8,8,8,8,9,8,9,8,8,8
25,24,1,1,25,23,22,1,1,22
16,1,27,25,1,27,1,26,26,26
8,9,8,8,9,9,9,9,8,8
1,1,1,1,1,1,1,1,1,1
21,20,23,16,7,22,7,22,21,21
19,21,20,18,19,19,19,20,19,19
20,22,21,19,20,20,20,21,20,20
13,14,13,12,13,13,13,14,12,12
11,11,11,10,11,11,11,12,10,10
20,22,21,19,20,20,20,21,20,20
20,22,21,19,20,20,20,21,20,20
21,20,23,16,7,22,7,22,21,21
5,5,5,5,5,5,5,5,5,5
22,25,4,21,21,24,23,23,22,23
13,14,13,12,13,13,13,14,12,12
6,6,6,6,7,6,7,6,6,6
12,12,12,11,12,12,12,13,11,11
20,22,21,19,20,20,20,21,20,20
21,20,23,16,7,22,7,22,21,21
24,27,26,26,26,28,24,25,25,25
11,11,11,10,11,11,11,12,10,10
9,10,9,9,4,4,10,10,9,4
11,11,11,10,11,11,11,12,10,10
7,7,8,7,8,7,8,7,7,7
10,28,25,23,23,25,25,11,24,9
11,11,11,10,11,11,11,12,10,10
13,14,13,12,13,13,13,14,12,12
16,17,16,15,16,16,16,17,15,15
23,14,22,12,22,21,21,24,23,24
23,26,22,22,22,21,21,24,23,24
10,8,28,27,23,29,25,27,24,9
24,27,26,26,26,28,24,25,25,25
9,10,9,9,4,4,10,10,9,4
11,11,11,10,11,11,11,12,10,10
17,18,18,15,17,17,17,18,17,16
24,27,26,26,26,28,9,9,25,25
2,23,24,20,27,30,26,28,16,2
4,20,10,4,10,10,4,4,4,18
8,8,8,8,9,8,9,8,8,8
13,14,13,12,13,13,13,14,12,12
8,9,17,8,9,9,9,9,8,8
7,7,7,7,8,7,8,7,7,7
11,11,11,10,11,11,11,12,10,10
6,6,6,6,7,6,7,6,6,6
26,29,29,28,28,31,27,29,27,27
8,9,17,8,9,9,9,9,8,8
7,7,7,7,8,7,8,7,7,7
24,27,26,26,26,28,24,25,25,25
13,14,13,12,13,13,13,14,12,12
10,13,28,27,23,29,25,27,24,28
11,11,11,10,11,11,11,12,10,10
4,21,10,18,10,10,4,20,19,18
6,6,6,6,6,6,6,6,6,6
7,24,7,12,8,23,22,7,7,22
27,30,30,29,29,32,28,30,28,29
6,6,6,6,6,6,6,6,6,6
22,25,4,21,21,24,23,23,22,23
17,18,18,15,17,17,17,18,17,16
5,5,5,5,5,5,5,21,20,5
7,7,7,7,8,7,8,7,7,7
11,11,11,10,11,11,11,12,10,10
10,14,25,23,23,25,13,14,24,9
22,25,4,21,21,24,23,23,22,23
1,23,24,20,27,1,26,28,21,1
16,17,16,15,16,16,16,17,15,15
7,24,7,7,8,23,22,7,7,22
8,13,8,8,9,8,9,8,8,8
25,24,1,1,25,23,22,1,1,22
24,27,26,24,24,26,24,25,25,25
18,19,19,17,18,18,18,19,18,17
1,23,24,20,27,1,26,28,21,1
3,3,3,3,3,3,3,3,3,3
10,14,25,23,23,25,13,14,24,9
7,24,7,7,8,23,22,7,7,22
10,28,25,23,23,25,25,11,24,9
24,27,26,26,26,28,24,25,25,25
1,23,24,20,27,1,26,28,21,1
1,23,24,20,27,1,26,28,21,1
2,2,2,2,2,2,2,2,2,2
24,27,26,24,24,26,24,25,25,25
17,18,23,16,17,22,21,22,16,16
10,28,25,23,23,25,25,11,24,9
28,31,31,30,30,33,29,31,29,30
7,24,7,7,8,23,22,7,7,22
19,21,20,18,19,19,19,20,19,19
16,1,27,25,1,27,1,26,26,26
6,6,6,6,6,6,6,6,6,6
11,11,11,10,11,11,11,12,10,10
23,26,22,22,22,21,21,24,9,24
5,5,5,5,5,5,5,5,5,5
20,22,21,19,20,20,20,21,20,20
21,20,23,16,7,22,7,22,21,21
20,22,21,19,20,20,20,21,20,20
16,17,16,15,16,16,16,17,15,15
20,22,21,19,20,20,20,21,20,20
21,20,23,16,7,22,7,22,21,21
24,11,11,26,11,28,11,12,25,25
12,12,12,11,12,12,12,13,11,11
10,13,28,27,23,29,25,27,24,28
22,25,4,21,21,24,23,23,22,23
10,28,25,23,23,25,25,11,24,9
17,18,18,15,17,17,17,18,17,16
4,4,4,4,4,4,4,4,4,4
10,28,25,23,23,25,25,11,24,9
12,12,12,11,12,12,12,13,11,11
17,18,18,15,17,17,17,18,17,16
1,23,24,20,27,1,26,28,21,1
7,24,7,7,8,23,22,7,7,22
7,7,7,7,8,7,8,7,7,7
7,7,7,7,8,7,8,7,7,7
11,11,11,10,11,11,11,12,10,10
4,4,4,4,4,4,4,4,4,4
24,27,26,24,24,26,24,25,25,25
2,23,24,20,27,30,26,28,16,2
17,2,2,16,2,2,2,2,16,16
23,26,22,22,22,21,21,24,23,24
2,23,24,20,27,30,26,28,16,2
3,3,3,3,3,3,3,3,3,3
12,12,12,11,12,12,12,13,11,11
2,2,2,2,2,2,2,2,2,2
12,12,12,11,12,12,12,13,11,11
23,26,22,22,22,21,21,24,23,24
1,23,24,20,27,1,26,28,21,1
8,13,8,8,9,8,9,8,8,8
2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2
25,24,1,1,25,23,22,1,1,22
11,11,11,10,11,11,11,12,10,10
10,28,25,23,23,25,25,11,24,9
7,7,7,7,8,7,8,7,7,7
2,2,2,2,2,2,2,2,2,2
9,10,9,9,4,4,10,10,9,4
11,11,11,10,11,11,11,12,10,10
10,28,25,23,23,25,25,11,24,9
24,27,26,26,26,28,24,25,25,25
12,12,12,11,12,12,12,13,11,11
1,1,1,1,1,1,1,1,1,1
17,18,18,15,17,17,17,18,17,16
10,13,28,27,23,29,25,27,24,28
13,14,13,12,13,13,13,14,12,12
23,26,22,22,22,21,21,24,23,24
4,21,10,18,10,10,4,20,19,18
24,27,26,26,26,28,24,25,25,25
5,27,5,5,26,28,24,5,25,25
12,12,12,11,12,12,12,13,11,11
9,10,9,9,4,4,10,10,9,4
16,1,27,25,1,27,1,26,26,26
10,28,25,23,23,25,25,11,24,9
13,14,13,12,13,13,13,14,12,12
17,18,18,15,17,17,17,18,17,16
5,5,5,5,5,5,5,5,5,5
29,32,32,31,31,34,30,32,30,31
5,5,5,5,5,5,5,5,5,5
17,18,18,15,17,17,17,18,17,16
2,23,24,20,27,30,26,28,16,2
11,11,11,10,11,11,11,12,10,10
7,7,7,7,8,7,8,7,7,7
8,9,17,8,9,9,9,9,8,8
10,28,25,23,23,25,13,11,24,9
6,6,6,6,2,6,2,6,6,6
12,12,12,11,12,12,12,13,11,11
19,21,10,18,10,10,4,20,19,18
22,25,4,21,21,24,23,23,22,23
8,13,8,8,9,8,9,8,8,8
9,5,5,5,5,5,10,5,5,5
10,4,10,4,10,10,4,11,4,9
8,13,8,8,9,8,9,8,8,8
6,6,6,6,6,6,6,6,6,6
10,8,28,27,23,29,25,27,24,9
16,17,28,15,16,29,16,17,15,28
22,25,28,27,6,29,6,27,22,28
12,12,12,11,12,12,12,13,11,11
7,7,7,7,8,7,8,7,7,7
6,6,6,6,2,6,2,6,6,6
8,9,17,8,9,9,9,9,8,8
17,18,18,15,17,17,17,18,17,16
3,3,3,3,3,3,3,3,3,3
8,13,8,8,9,8,9,8,8,8
24,27,26,26,26,28,24,25,25,25
5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5
1,23,24,20,27,1,26,28,21,1
22,25,4,21,21,24,23,23,22,23
8,8,8,8,9,8,9,8,8,8
13,14,13,12,13,13,13,14,12,12
13,14,13,12,13,13,13,14,12,12
12,12,12,11,12,12,12,13,11,11
1,23,24,20,27,1,26,28,21,1
27,30,30,29,29,32,28,30,28,29
7,24,7,7,8,23,22,7,7,22
22,25,4,21,21,24,23,23,22,23
8,8,8,8,9,8,9,8,8,8
11,11,11,10,11,11,11,12,10,10
11,11,11,10,11,11,11,12,10,10
8,9,17,8,9,9,9,9,8,8
11,28,25,23,23,25,11,11,10,9
13,14,13,12,13,13,13,14,12,12
5,5,5,5,5,5,5,5,5,5
4,20,10,4,10,10,4,4,4,18
8,13,8,8,9,8,9,8,8,8
6,6,6,6,2,6,2,6,6,6
7,2,2,2,2,7,8,2,2,7
21,18,17,16,17,9,9,9,21,16
8,13,8,8,9,8,9,8,8,8
11,11,11,10,11,11,11,12,10,10
8,13,8,8,9,8,9,8,8,8
11,11,11,10,11,11,11,12,10,10
1,23,24,20,27,1,26,28,21,1
17,2,2,16,2,2,2,2,16,16
17,18,18,15,17,17,17,18,17,16
10,28,25,23,23,25,13,11,24,9
10,28,25,23,23,25,25,11,24,9
11,11,11,10,11,11,11,12,10,10
10,28,25,23,23,25,25,11,24,9
7,24,7,7,8,23,22,7,7,22
5,5,5,5,5,5,5,5,5,5
17,18,17,16,17,9,9,9,16,16
3,3,3,3,3,3,3,3,3,3
24,27,26,26,26,28,24,25,25,25
3,3,3,3,3,3,3,3,3,3
21,20,23,16,7,22,7,22,21,21
5,5,5,5,5,17,5,5,5,5
10,14,25,23,23,25,13,14,24,9
7,24,7,7,8,23,22,7,7,22
9,10,9,9,4,4,10,10,9,4
20,22,21,19,20,20,20,21,20,20
10,8,25,23,23,29,25,11,24,9
9,10,9,9,4,4,10,10,9,4
10,28,25,23,23,25,25,11,24,9
11,11,11,10,11,11,11,12,10,10
24,27,26,24,24,26,16,17,15,25
19,21,20,18,19,19,19,20,19,19
19,21,20,18,19,19,19,20,19,19
5,5,5,5,5,5,5,5,5,5
12,12,12,11,12,12,12,13,11,11
4,4,10,4,10,10,4,4,12,12
10,28,25,23,23,25,25,11,24,9
21,20,23,16,7,22,7,22,21,21
9,10,9,9,4,4,10,10,9,4
11,11,11,10,11,11,11,12,10,10
