mm1,mm2,met1,met2,nmi_m1_m2
IM,LP,1,2,NA
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,NA
IM,LP,1,2,NA
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,NA
IM,LP,1,2,NA
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,NA
IM,LP,1,2,NA
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,NA
IM,LP,1,2,NA
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,NA
IM,LP,1,2,NA
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,NA
IM,LP,1,2,NA
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,NA
IM,LP,1,2,NA
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,NA
IM,LP,1,2,NA
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,NA
IM,LP,1,2,NA
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,NA
IM,LP,1,2,NA
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,NA
IM,LP,1,2,NA
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,NA
IM,LP,1,2,NA
IM,LP,1,2,0
IM,LP,1,2,1
IM,LP,1,2,0.02108849033653512
IM,LP,1,2,0.02906207992700085
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,1
IM,LP,1,2,0.02108849033653512
IM,LP,1,2,0.028327543006628153
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,1
IM,LP,1,2,0.02108849033653512
IM,LP,1,2,0.033753294073448396
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,1
IM,LP,1,2,0.02108849033653512
IM,LP,1,2,0.018548927593423484
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,1
IM,LP,1,2,0.02108849033653512
IM,LP,1,2,0.008565959352193883
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,1
IM,LP,1,2,0.02108849033653512
IM,LP,1,2,0.024522483669059496
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,1
IM,LP,1,2,0.02108849033653512
IM,LP,1,2,0.010699289639714173
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,1
IM,LP,1,2,0.02108849033653512
IM,LP,1,2,0.025956600861972875
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,1
IM,LP,1,2,0.02108849033653512
IM,LP,1,2,0.028006415020605725
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,1
IM,LP,1,2,0.02108849033653512
IM,LP,1,2,0.014110655571851
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,1
IM,LP,1,2,0.02108849033653512
IM,LP,1,2,0.02047386857407119
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,1
IM,LP,1,2,0.02108849033653512
IM,LP,1,2,0.01480627532049783
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,1
IM,LP,1,2,1
IM,LP,1,2,0.0615215898970155
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,0.02108849033653512
IM,LP,1,2,1
IM,LP,1,2,0.06281058857515746
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,0.02108849033653512
IM,LP,1,2,1
IM,LP,1,2,0.061823218810956614
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,0.02108849033653512
IM,LP,1,2,1
IM,LP,1,2,0.05767155105638746
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,0.02108849033653512
IM,LP,1,2,1
IM,LP,1,2,0.05042258629028452
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,0.02108849033653512
IM,LP,1,2,1
IM,LP,1,2,0.054570103401848265
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,0.02108849033653512
IM,LP,1,2,1
IM,LP,1,2,0.07005608812239159
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,0.02108849033653512
IM,LP,1,2,1
IM,LP,1,2,0.0545077520444115
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,0.02108849033653512
IM,LP,1,2,1
IM,LP,1,2,0.04988177332140214
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,0.02108849033653512
IM,LP,1,2,1
IM,LP,1,2,0.06643545858008441
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,0.02108849033653512
IM,LP,1,2,1
IM,LP,1,2,0.06102052782582259
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,0.02108849033653512
IM,LP,1,2,1
IM,LP,1,2,0.062019875600259775
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,0.02108849033653512
IM,LP,1,2,0.06572529477716442
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,0.014916021929941577
IM,LP,1,2,0.061031818267174874
IM,LP,1,2,0.04827791855604673
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,0.014916021929941577
IM,LP,1,2,0.061031818267174874
IM,LP,1,2,0.030344058125825656
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,0.014916021929941577
IM,LP,1,2,0.061031818267174874
IM,LP,1,2,0.039804424050874754
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,0.014916021929941577
IM,LP,1,2,0.061031818267174874
IM,LP,1,2,0.03933344995214896
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,0.014916021929941577
IM,LP,1,2,0.061031818267174874
IM,LP,1,2,0.02122143318073424
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,0.014916021929941577
IM,LP,1,2,0.061031818267174874
IM,LP,1,2,0.05695411073999809
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,0.014916021929941577
IM,LP,1,2,0.061031818267174874
IM,LP,1,2,0.05354888502566978
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,0.014916021929941577
IM,LP,1,2,0.061031818267174874
IM,LP,1,2,0.02432148012168666
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,0.014916021929941577
IM,LP,1,2,0.061031818267174874
IM,LP,1,2,0.052247070733971
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,0.014916021929941577
IM,LP,1,2,0.061031818267174874
IM,LP,1,2,0.03351366596767992
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,0.014916021929941577
IM,LP,1,2,0.061031818267174874
IM,LP,1,2,0.05007318111470758
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,0.014916021929941577
IM,LP,1,2,NA
IM,LP,1,2,NA
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,NA
IM,LP,1,2,NA
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,NA
IM,LP,1,2,NA
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,NA
IM,LP,1,2,NA
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,NA
IM,LP,1,2,NA
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,NA
IM,LP,1,2,NA
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,NA
IM,LP,1,2,NA
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,NA
IM,LP,1,2,NA
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,NA
IM,LP,1,2,NA
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,NA
IM,LP,1,2,NA
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,NA
IM,LP,1,2,NA
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,NA
IM,LP,1,2,NA
IM,LP,1,2,0
IM,LP,1,2,NA
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,NA
IM,LP,1,2,NA
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,NA
IM,LP,1,2,NA
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,NA
IM,LP,1,2,NA
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,NA
IM,LP,1,2,NA
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,NA
IM,LP,1,2,NA
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,NA
IM,LP,1,2,NA
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,NA
IM,LP,1,2,NA
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,NA
IM,LP,1,2,NA
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,NA
IM,LP,1,2,NA
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,NA
IM,LP,1,2,NA
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,NA
IM,LP,1,2,NA
IM,LP,1,2,0
IM,LP,1,2,1
IM,LP,1,2,0.02108849033653512
IM,LP,1,2,0.028327543006628153
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,1
IM,LP,1,2,0.02108849033653512
IM,LP,1,2,0.033753294073448396
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,1
IM,LP,1,2,0.02108849033653512
IM,LP,1,2,0.018548927593423484
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,1
IM,LP,1,2,0.02108849033653512
IM,LP,1,2,0.008565959352193883
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,1
IM,LP,1,2,0.02108849033653512
IM,LP,1,2,0.024522483669059496
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,1
IM,LP,1,2,0.02108849033653512
IM,LP,1,2,0.010699289639714173
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,1
IM,LP,1,2,0.02108849033653512
IM,LP,1,2,0.025956600861972875
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,1
IM,LP,1,2,0.02108849033653512
IM,LP,1,2,0.028006415020605725
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,1
IM,LP,1,2,0.02108849033653512
IM,LP,1,2,0.014110655571851
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,1
IM,LP,1,2,0.02108849033653512
IM,LP,1,2,0.02047386857407119
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,1
IM,LP,1,2,0.02108849033653512
IM,LP,1,2,0.01480627532049783
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,1
IM,LP,1,2,1
IM,LP,1,2,0.06281058857515746
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,0.02108849033653512
IM,LP,1,2,1
IM,LP,1,2,0.061823218810956614
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,0.02108849033653512
IM,LP,1,2,1
IM,LP,1,2,0.05767155105638746
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,0.02108849033653512
IM,LP,1,2,1
IM,LP,1,2,0.05042258629028452
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,0.02108849033653512
IM,LP,1,2,1
IM,LP,1,2,0.054570103401848265
IM,LP,1,2,0
IM,LP,1,2,0
IM,LP,1,2,0.02108849033653512
IM,LP,1,2,1
IM,LP,1,2,0.07005608812239159
IM,LP,1,2,0
IM,LP,1,2,0
