method,mu_built_in,mu_emp,mod,nc,nc_norm,nmi
IM,0,0,0,1,1,NA
LP,0,0,0,1,1,NA
ML,0.8172,0.8172,0.034,7,1,1
WT,0.8188,0.8188,0.0145,7,1,1
FG,0.5546,0.5546,0.0302,3,1,1
IM,0,0,0,1,1,NA
LP,0,0,0,1,1,NA
ML,0.8142,0.8142,0.0357,7,1,1
WT,0.8188,0.8188,0.0145,7,1,1
FG,0.5546,0.5546,0.0302,3,1,1
IM,0,0,0,1,1,NA
LP,0,0,0,1,1,NA
ML,0.8162,0.8162,0.036,7,1,1
WT,0.8188,0.8188,0.0145,7,1,1
FG,0.5546,0.5546,0.0302,3,1,1
IM,0,0,0,1,1,NA
LP,0,0,0,1,1,NA
ML,0.8181,0.8181,0.0346,7,1,1
WT,0.8188,0.8188,0.0145,7,1,1
FG,0.5546,0.5546,0.0302,3,1,1
IM,0,0,0,1,1,NA
LP,0,0,0,1,1,NA
ML,0.7948,0.7948,0.0359,6,1,1
WT,0.8188,0.8188,0.0145,7,1,1
FG,0.5546,0.5546,0.0302,3,1,1
IM,0,0,0,1,1,NA
LP,0,0,0,1,1,NA
ML,0.7907,0.7907,0.0371,6,1,1
WT,0.8188,0.8188,0.0145,7,1,1
FG,0.5546,0.5546,0.0302,3,1,1
IM,0,0,0,1,1,NA
LP,0,0,0,1,1,NA
ML,0.7955,0.7955,0.0356,6,1,1
WT,0.8188,0.8188,0.0145,7,1,1
FG,0.5546,0.5546,0.0302,3,1,1
IM,0,0,0,1,1,NA
LP,0,0,0,1,1,NA
ML,0.7917,0.7917,0.0372,6,1,1
WT,0.8188,0.8188,0.0145,7,1,1
FG,0.5546,0.5546,0.0302,3,1,1
IM,0,0,0,1,1,NA
LP,0,0,0,1,1,NA
ML,0.7943,0.7943,0.0357,6,1,1
WT,0.8188,0.8188,0.0145,7,1,1
FG,0.5546,0.5546,0.0302,3,1,1
IM,0,0,0,1,1,NA
LP,0,0,0,1,1,NA
ML,0.7938,0.7938,0.0356,6,1,1
WT,0.8188,0.8188,0.0145,7,1,1
FG,0.5546,0.5546,0.0302,3,1,1
IM,0,0,0,1,1,NA
LP,0,0,0,1,1,NA
ML,0.8174,0.8174,0.0346,7,1,1
WT,0.8188,0.8188,0.0145,7,1,1
FG,0.5546,0.5546,0.0302,3,1,1
IM,0,0,0,1,1,NA
LP,0,0,0,1,1,NA
ML,0.7942,0.7942,0.0362,6,1,1
WT,0.8188,0.8188,0.0145,7,1,1
FG,0.5546,0.5546,0.0302,3,1,1
IM,0,0,0,1,1,NA
LP,0,0,0,1,1,NA
ML,0.8159,0.8159,0.0359,7,1,1
WT,0.8188,0.8188,0.0145,7,1,1
FG,0.5546,0.5546,0.0302,3,1,1
IM,0,0,0,1,1,NA
LP,0,0,0,1,1,NA
ML,0.8189,0.8189,0.035,7,1,1
WT,0.8188,0.8188,0.0145,7,1,1
FG,0.5546,0.5546,0.0302,3,1,1
IM,0,0,0,1,1,NA
LP,0,0,0,1,1,NA
ML,0.8069,0.8069,0.0362,7,1,1
WT,0.8188,0.8188,0.0145,7,1,1
FG,0.5546,0.5546,0.0302,3,1,1
IM,0,0,0,1,1,NA
LP,0,0,0,1,1,NA
ML,0.7945,0.7945,0.0355,6,1,1
WT,0.8188,0.8188,0.0145,7,1,1
FG,0.5546,0.5546,0.0302,3,1,1
IM,0,0,0,1,1,NA
LP,0,0,0,1,1,NA
ML,0.7927,0.7927,0.0361,6,1,1
WT,0.8188,0.8188,0.0145,7,1,1
FG,0.5546,0.5546,0.0302,3,1,1
IM,0,0,0,1,1,NA
LP,0,0,0,1,1,NA
ML,0.8133,0.8133,0.0354,7,1,1
WT,0.8188,0.8188,0.0145,7,1,1
FG,0.5546,0.5546,0.0302,3,1,1
IM,0,0,0,1,1,NA
LP,0,0,0,1,1,NA
ML,0.8089,0.8089,0.035,7,1,1
WT,0.8188,0.8188,0.0145,7,1,1
FG,0.5546,0.5546,0.0302,3,1,1
IM,0,0,0,1,1,NA
LP,0,0,0,1,1,NA
ML,0.7922,0.7922,0.0365,6,1,1
WT,0.8188,0.8188,0.0145,7,1,1
FG,0.5546,0.5546,0.0302,3,1,1
IM,0,0,0,1,1,NA
LP,0,0,0,1,1,NA
ML,0.7827,0.7827,0.036,6,1,1
WT,0.8188,0.8188,0.0145,7,1,1
FG,0.5546,0.5546,0.0302,3,1,1
IM,0,0,0,1,1,NA
LP,0,0,0,1,1,NA
ML,0.7936,0.7936,0.0359,6,1,1
WT,0.8188,0.8188,0.0145,7,1,1
FG,0.5546,0.5546,0.0302,3,1,1
IM,0,0,0,1,1,NA
LP,0,0,0,1,1,NA
ML,0.7922,0.7922,0.0362,6,1,1
WT,0.8188,0.8188,0.0145,7,1,1
FG,0.5546,0.5546,0.0302,3,1,1
IM,0,0,0,1,1,NA
LP,0,0,0,1,1,NA
ML,0.7943,0.7943,0.0348,6,1,1
WT,0.8188,0.8188,0.0145,7,1,1
FG,0.5546,0.5546,0.0302,3,1,1
IM,0,0,0,1,1,NA
LP,0,0,0,1,1,NA
ML,0.7887,0.7887,0.0351,6,1,1
WT,0.8188,0.8188,0.0145,7,1,1
FG,0.5546,0.5546,0.0302,3,1,1
IM,0,0,0,1,1,NA
LP,0,0,0,1,1,NA
ML,0.816,0.816,0.0355,7,1,1
WT,0.8188,0.8188,0.0145,7,1,1
FG,0.5546,0.5546,0.0302,3,1,1
IM,0,0,0,1,1,NA
LP,0,0,0,1,1,NA
ML,0.8028,0.8028,0.0347,7,1,1
WT,0.8188,0.8188,0.0145,7,1,1
FG,0.5546,0.5546,0.0302,3,1,1
IM,0,0,0,1,1,NA
LP,0,0,0,1,1,NA
ML,0.8087,0.8087,0.0363,7,1,1
WT,0.8188,0.8188,0.0145,7,1,1
FG,0.5546,0.5546,0.0302,3,1,1
IM,0,0,0,1,1,NA
LP,0,0,0,1,1,NA
ML,0.7969,0.7969,0.0348,6,1,1
WT,0.8188,0.8188,0.0145,7,1,1
FG,0.5546,0.5546,0.0302,3,1,1
IM,0,0,0,1,1,NA
LP,0,0,0,1,1,NA
ML,0.8135,0.8135,0.0356,7,1,1
WT,0.8188,0.8188,0.0145,7,1,1
FG,0.5546,0.5546,0.0302,3,1,1
IM,0,0,0,1,1,NA
LP,0,0,0,1,1,NA
ML,0.7946,0.7946,0.035,6,1,1
WT,0.8188,0.8188,0.0145,7,1,1
FG,0.5546,0.5546,0.0302,3,1,1
IM,0,0,0,1,1,NA
LP,0,0,0,1,1,NA
ML,0.8193,0.8193,0.0358,7,1,1
WT,0.8188,0.8188,0.0145,7,1,1
FG,0.5546,0.5546,0.0302,3,1,1
IM,0,0,0,1,1,NA
LP,0,0,0,1,1,NA
ML,0.796,0.796,0.0361,6,1,1
WT,0.8188,0.8188,0.0145,7,1,1
FG,0.5546,0.5546,0.0302,3,1,1
IM,0,0,0,1,1,NA
LP,0,0,0,1,1,NA
ML,0.7939,0.7939,0.0363,6,1,1
WT,0.8188,0.8188,0.0145,7,1,1
FG,0.5546,0.5546,0.0302,3,1,1
IM,0,0,0,1,1,NA
LP,0,0,0,1,1,NA
ML,0.8098,0.8098,0.0355,7,1,1
WT,0.8188,0.8188,0.0145,7,1,1
FG,0.5546,0.5546,0.0302,3,1,1
IM,0,0,0,1,1,NA
LP,0,0,0,1,1,NA
ML,0.8157,0.8157,0.0356,7,1,1
WT,0.8188,0.8188,0.0145,7,1,1
FG,0.5546,0.5546,0.0302,3,1,1
IM,0,0,0,1,1,NA
LP,0,0,0,1,1,NA
ML,0.8068,0.8068,0.0349,7,1,1
WT,0.8188,0.8188,0.0145,7,1,1
FG,0.5546,0.5546,0.0302,3,1,1
IM,0,0,0,1,1,NA
LP,0,0,0,1,1,NA
ML,0.7929,0.7929,0.0364,6,1,1
WT,0.8188,0.8188,0.0145,7,1,1
FG,0.5546,0.5546,0.0302,3,1,1
IM,0,0,0,1,1,NA
LP,0,0,0,1,1,NA
ML,0.7937,0.7937,0.0369,6,1,1
WT,0.8188,0.8188,0.0145,7,1,1
FG,0.5546,0.5546,0.0302,3,1,1
IM,0,0,0,1,1,NA
LP,0,0,0,1,1,NA
ML,0.8296,0.8296,0.0343,8,1,1
WT,0.8188,0.8188,0.0145,7,1,1
FG,0.5546,0.5546,0.0302,3,1,1
IM,0,0,0,1,1,NA
LP,0,0,0,1,1,NA
ML,0.7913,0.7913,0.0352,6,1,1
WT,0.8188,0.8188,0.0145,7,1,1
FG,0.5546,0.5546,0.0302,3,1,1
IM,0,0,0,1,1,NA
LP,0,0,0,1,1,NA
ML,0.8164,0.8164,0.0348,7,1,1
WT,0.8188,0.8188,0.0145,7,1,1
FG,0.5546,0.5546,0.0302,3,1,1
IM,0,0,0,1,1,NA
LP,0,0,0,1,1,NA
ML,0.8116,0.8116,0.0355,7,1,1
WT,0.8188,0.8188,0.0145,7,1,1
FG,0.5546,0.5546,0.0302,3,1,1
IM,0,0,0,1,1,NA
LP,0,0,0,1,1,NA
ML,0.79,0.79,0.0375,6,1,1
WT,0.8188,0.8188,0.0145,7,1,1
FG,0.5546,0.5546,0.0302,3,1,1
IM,0,0,0,1,1,NA
LP,0,0,0,1,1,NA
ML,0.7913,0.7913,0.0363,6,1,1
WT,0.8188,0.8188,0.0145,7,1,1
FG,0.5546,0.5546,0.0302,3,1,1
IM,0,0,0,1,1,NA
LP,0,0,0,1,1,NA
ML,0.8176,0.8176,0.0356,7,1,1
WT,0.8188,0.8188,0.0145,7,1,1
