method,mu,mod,nc,nmi
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7383,0.0106,4,1
WT,0,0,1,NA
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7367,0.0107,4,1
WT,0,0,1,NA
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.738,0.0102,4,1
WT,0,0,1,NA
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7877,0.0102,5,1
WT,0,0,1,NA
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7803,0.0103,5,1
WT,0,0,1,NA
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7347,0.0102,4,1
WT,0,0,1,NA
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7703,0.0101,5,1
WT,0,0,1,NA
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7386,0.0104,4,1
WT,0,0,1,NA
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7873,0.0101,5,1
WT,0,0,1,NA
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.737,0.0104,4,1
WT,0,0,1,NA
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7352,0.0106,4,1
WT,0,0,1,NA
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7853,0.0102,5,1
WT,0,0,1,NA
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.738,0.0106,4,1
WT,0,0,1,NA
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7347,0.0107,4,1
WT,0,0,1,NA
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7835,0.0099,5,1
WT,0,0,1,NA
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7736,0.01,5,1
WT,0,0,1,NA
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7809,0.0102,5,1
WT,0,0,1,NA
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7392,0.0104,4,1
WT,0,0,1,NA
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7861,0.0104,5,1
WT,0,0,1,NA
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.777,0.0103,5,1
WT,0,0,1,NA
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7789,0.0101,5,1
WT,0,0,1,NA
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7869,0.0105,5,1
WT,0,0,1,NA
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7873,0.0099,5,1
WT,0,0,1,NA
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.785,0.0102,5,1
WT,0,0,1,NA
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7369,0.0104,4,1
WT,0,0,1,NA
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7834,0.0099,5,1
WT,0,0,1,NA
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.783,0.0102,5,1
WT,0,0,1,NA
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7896,0.0102,5,1
WT,0,0,1,NA
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7795,0.0103,5,1
WT,0,0,1,NA
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7337,0.0106,4,1
WT,0,0,1,NA
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7801,0.0104,5,1
WT,0,0,1,NA
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7379,0.0107,4,1
WT,0,0,1,NA
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7387,0.0108,4,1
WT,0,0,1,NA
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7874,0.0103,5,1
WT,0,0,1,NA
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7822,0.01,5,1
WT,0,0,1,NA
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.734,0.0098,4,1
WT,0,0,1,NA
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7677,0.0102,5,1
WT,0,0,1,NA
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.739,0.0105,4,1
WT,0,0,1,NA
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7786,0.0104,5,1
WT,0,0,1,NA
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.788,0.0098,5,1
WT,0,0,1,NA
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7361,0.0106,4,1
WT,0,0,1,NA
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7385,0.0104,4,1
WT,0,0,1,NA
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7352,0.0104,4,1
WT,0,0,1,NA
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.776,0.0103,5,1
WT,0,0,1,NA
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7388,0.0106,4,1
WT,0,0,1,NA
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7392,0.0105,4,1
WT,0,0,1,NA
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7837,0.0099,5,1
WT,0,0,1,NA
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7382,0.0102,4,1
WT,0,0,1,NA
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7826,0.0104,5,1
WT,0,0,1,NA
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7296,0.0107,4,1
WT,0,0,1,NA
