mu,met,j,nmi,nc_norm
5,LV_inc05_ST,0,0.967,1.3514
5,LV_inc05_ST,0,0.968,1.3243
5,LV_inc05_ST,0,0.97,1.3514
5,LV_inc05_ST,0,0.967,1.3514
5,LV_inc05_ST,0,0.967,1.3514
5,LV_inc05_ST,0,0.969,1.3243
5,LV_inc05_ST,0,0.968,1.3243
5,LV_inc05_ST,0,0.958,1.2973
5,LV_inc05_ST,0,0.967,1.3243
5,LV_inc05_ST,0,0.968,1.3243
5,LV_inc05_ST,0,0.967,1.3514
5,LV_inc05_ST,0,0.967,1.3514
5,LV_inc05_ST,0,0.967,1.3514
5,LV_inc05_ST,0,0.97,1.3514
5,LV_inc05_ST,0,0.969,1.3514
5,LV_inc05_ST,0,0.969,1.3514
5,LV_inc05_ST,0,0.967,1.3243
5,LV_inc05_ST,0,0.969,1.3514
5,LV_inc05_ST,0,0.959,1.2973
5,LV_inc05_ST,0,0.967,1.3514
5,LV_inc05_ST,0,0.969,1.3514
5,LV_inc05_ST,0,0.967,1.3514
5,LV_inc05_ST,0,0.969,1.3514
5,LV_inc05_ST,0,0.968,1.3243
5,LV_inc05_ST,0,0.969,1.3514
5,LV_inc05_ST,0,0.97,1.3514
5,LV_inc05_ST,0,0.967,1.3514
5,LV_inc05_ST,0,0.969,1.3514
5,LV_inc05_ST,0,0.968,1.3514
5,LV_inc05_ST,0,0.967,1.3514
5,LV_inc05_ST,0,0.958,1.2973
5,LV_inc05_ST,0,0.968,1.3243
5,LV_inc05_ST,0,0.968,1.3243
5,LV_inc05_ST,0,0.97,1.3514
5,LV_inc05_ST,0,0.967,1.3514
5,LV_inc05_ST,0,0.96,1.2973
5,LV_inc05_ST,0,0.967,1.3243
5,LV_inc05_ST,0,0.969,1.3514
5,LV_inc05_ST,0,0.97,1.3514
5,LV_inc05_ST,0,0.969,1.3514
5,LV_inc05_ST,0,0.969,1.3514
5,LV_inc05_ST,0,0.967,1.3514
5,LV_inc05_ST,0,0.969,1.3514
5,LV_inc05_ST,0,0.968,1.3514
5,LV_inc05_ST,0,0.945,1.2703
5,LV_inc05_ST,0,0.968,1.3243
5,LV_inc05_ST,0,0.967,1.3243
5,LV_inc05_ST,0,0.969,1.3514
5,LV_inc05_ST,0,0.968,1.3243
5,LV_inc05_ST,0,0.967,1.3514
5,LV_inc05_ST,0,0.967,1.3514
5,LV_inc05_ST,0,0.967,1.3514
5,LV_inc05_ST,0,0.966,1.3243
5,LV_inc05_ST,0,0.96,1.2973
5,LV_inc05_ST,0,0.967,1.3514
5,LV_inc05_ST,0,0.959,1.2973
5,LV_inc05_ST,0,0.968,1.3514
5,LV_inc05_ST,0,0.969,1.3514
5,LV_inc05_ST,0,0.97,1.3514
5,LV_inc05_ST,0,0.968,1.3243
5,LV_inc05_ST,0,0.969,1.3514
5,LV_inc05_ST,0,0.969,1.3514
5,LV_inc05_ST,0,0.967,1.3243
5,LV_inc05_ST,0,0.969,1.3514
5,LV_inc05_ST,0,0.97,1.3514
5,LV_inc05_ST,0,0.969,1.3514
5,LV_inc05_ST,0,0.967,1.3243
5,LV_inc05_ST,0,0.966,1.3243
5,LV_inc05_ST,0,0.97,1.3514
5,LV_inc05_ST,0,0.965,1.3243
5,LV_inc05_ST,0,0.967,1.3514
5,LV_inc05_ST,0,0.967,1.3243
5,LV_inc05_ST,0,0.969,1.3514
5,LV_inc05_ST,0,0.968,1.3514
5,LV_inc05_ST,0,0.967,1.3243
5,LV_inc05_ST,0,0.968,1.3243
5,LV_inc05_ST,0,0.968,1.3243
5,LV_inc05_ST,0,0.97,1.3514
5,LV_inc05_ST,0,0.97,1.3514
5,LV_inc05_ST,0,0.96,1.2973
5,LV_inc05_ST,0,0.95,1.2703
5,LV_inc05_ST,0,0.969,1.3514
5,LV_inc05_ST,0,0.967,1.3514
5,LV_inc05_ST,0,0.969,1.3514
5,LV_inc05_ST,0,0.969,1.3514
5,LV_inc05_ST,0,0.968,1.3243
5,LV_inc05_ST,0,0.968,1.3243
5,LV_inc05_ST,0,0.967,1.3514
5,LV_inc05_ST,0,0.969,1.3514
5,LV_inc05_ST,0,0.967,1.3514
5,LV_inc05_ST,0,0.97,1.3243
5,LV_inc05_ST,0,0.969,1.3514
5,LV_inc05_ST,0,0.968,1.3514
5,LV_inc05_ST,0,0.957,1.2973
5,LV_inc05_ST,0,0.968,1.3243
5,LV_inc05_ST,0,0.969,1.3514
5,LV_inc05_ST,0,0.962,1.2973
5,LV_inc05_ST,0,0.967,1.3243
5,LV_inc05_ST,0,0.968,1.3243
5,LV_inc05_ST,0,0.969,1.3243
5,LV_cons_gamma_LIM,0,0.968,1.2432
5,LV_cons_LF,1,0.969,1.3514
5,LV_cons_LF,2,0.969,1.3514
10,LV_inc05_ST,0,0.901,1.1081
10,LV_inc05_ST,0,0.893,1.0541
10,LV_inc05_ST,0,0.898,1.0811
10,LV_inc05_ST,0,0.902,1.0811
10,LV_inc05_ST,0,0.89,1.0541
10,LV_inc05_ST,0,0.898,1.0811
10,LV_inc05_ST,0,0.91,1.1081
10,LV_inc05_ST,0,0.892,1.0541
10,LV_inc05_ST,0,0.905,1.1081
10,LV_inc05_ST,0,0.901,1.0811
10,LV_inc05_ST,0,0.905,1.1081
10,LV_inc05_ST,0,0.905,1.0811
10,LV_inc05_ST,0,0.908,1.1081
10,LV_inc05_ST,0,0.887,1.0541
10,LV_inc05_ST,0,0.905,1.0811
10,LV_inc05_ST,0,0.906,1.0811
10,LV_inc05_ST,0,0.903,1.0811
10,LV_inc05_ST,0,0.904,1.1081
10,LV_inc05_ST,0,0.9,1.0811
10,LV_inc05_ST,0,0.909,1.1351
10,LV_inc05_ST,0,0.909,1.1081
10,LV_inc05_ST,0,0.893,1.0541
10,LV_inc05_ST,0,0.903,1.1081
10,LV_inc05_ST,0,0.899,1.0811
10,LV_inc05_ST,0,0.898,1.0811
10,LV_inc05_ST,0,0.894,1.0811
10,LV_inc05_ST,0,0.902,1.0811
10,LV_inc05_ST,0,0.896,1.0541
10,LV_inc05_ST,0,0.897,1.0811
10,LV_inc05_ST,0,0.892,1.0541
10,LV_inc05_ST,0,0.911,1.1081
10,LV_inc05_ST,0,0.895,1.0541
10,LV_inc05_ST,0,0.909,1.1081
10,LV_inc05_ST,0,0.899,1.0811
10,LV_inc05_ST,0,0.903,1.0811
10,LV_inc05_ST,0,0.897,1.0811
10,LV_inc05_ST,0,0.896,1.0811
10,LV_inc05_ST,0,0.9,1.0811
10,LV_inc05_ST,0,0.889,1.0541
10,LV_inc05_ST,0,0.897,1.0811
10,LV_inc05_ST,0,0.905,1.1081
10,LV_inc05_ST,0,0.892,1.0541
10,LV_inc05_ST,0,0.898,1.0811
10,LV_inc05_ST,0,0.9,1.1081
10,LV_inc05_ST,0,0.905,1.0811
10,LV_inc05_ST,0,0.909,1.1081
10,LV_inc05_ST,0,0.903,1.1081
10,LV_inc05_ST,0,0.914,1.1351
10,LV_inc05_ST,0,0.899,1.0811
10,LV_inc05_ST,0,0.907,1.1081
10,LV_inc05_ST,0,0.902,1.1081
10,LV_inc05_ST,0,0.908,1.1081
10,LV_inc05_ST,0,0.897,1.0811
10,LV_inc05_ST,0,0.899,1.0811
10,LV_inc05_ST,0,0.901,1.0811
10,LV_inc05_ST,0,0.905,1.0811
10,LV_inc05_ST,0,0.906,1.1081
10,LV_inc05_ST,0,0.901,1.0811
10,LV_inc05_ST,0,0.894,1.0811
10,LV_inc05_ST,0,0.881,1.027
10,LV_inc05_ST,0,0.914,1.1351
10,LV_inc05_ST,0,0.909,1.1351
10,LV_inc05_ST,0,0.897,1.0811
10,LV_inc05_ST,0,0.905,1.0811
10,LV_inc05_ST,0,0.888,1.0541
10,LV_inc05_ST,0,0.903,1.0811
10,LV_inc05_ST,0,0.897,1.0811
10,LV_inc05_ST,0,0.901,1.1081
10,LV_inc05_ST,0,0.912,1.1351
10,LV_inc05_ST,0,0.899,1.1081
10,LV_inc05_ST,0,0.893,1.0811
10,LV_inc05_ST,0,0.896,1.0811
10,LV_inc05_ST,0,0.908,1.1081
10,LV_inc05_ST,0,0.91,1.1081
10,LV_inc05_ST,0,0.906,1.1081
10,LV_inc05_ST,0,0.908,1.1351
10,LV_inc05_ST,0,0.902,1.1081
10,LV_inc05_ST,0,0.892,1.0541
10,LV_inc05_ST,0,0.891,1.0541
10,LV_inc05_ST,0,0.9,1.0811
10,LV_inc05_ST,0,0.907,1.1081
10,LV_inc05_ST,0,0.914,1.1351
10,LV_inc05_ST,0,0.887,1.0541
10,LV_inc05_ST,0,0.901,1.0811
10,LV_inc05_ST,0,0.889,1.0541
10,LV_inc05_ST,0,0.91,1.1351
10,LV_inc05_ST,0,0.889,1.0811
10,LV_inc05_ST,0,0.899,1.0811
10,LV_inc05_ST,0,0.906,1.1081
10,LV_inc05_ST,0,0.9,1.0811
10,LV_inc05_ST,0,0.897,1.0811
10,LV_inc05_ST,0,0.913,1.1351
10,LV_inc05_ST,0,0.904,1.1081
10,LV_inc05_ST,0,0.9,1.0811
10,LV_inc05_ST,0,0.893,1.0541
10,LV_inc05_ST,0,0.899,1.1081
10,LV_inc05_ST,0,0.907,1.1081
10,LV_inc05_ST,0,0.909,1.1081
10,LV_inc05_ST,0,0.91,1.1351
10,LV_inc05_ST,0,0.901,1.1081
10,LV_cons_gamma_LIM,0,0.926,1.2432
10,LV_cons_LF,1,0.923,1.2162
10,LV_cons_LF,2,0.923,1.2162
15,LV_inc05_ST,0,0.862,1.1351
15,LV_inc05_ST,0,0.857,1.1081
15,LV_inc05_ST,0,0.861,1.1351
15,LV_inc05_ST,0,0.866,1.1351
15,LV_inc05_ST,0,0.862,1.1351
15,LV_inc05_ST,0,0.859,1.1351
15,LV_inc05_ST,0,0.862,1.1351
15,LV_inc05_ST,0,0.845,1.1081
15,LV_inc05_ST,0,0.863,1.1351
15,LV_inc05_ST,0,0.868,1.1351
15,LV_inc05_ST,0,0.847,1.1081
15,LV_inc05_ST,0,0.846,1.1351
15,LV_inc05_ST,0,0.854,1.1351
15,LV_inc05_ST,0,0.864,1.1351
15,LV_inc05_ST,0,0.852,1.1081
15,LV_inc05_ST,0,0.861,1.1351
15,LV_inc05_ST,0,0.86,1.1351
15,LV_inc05_ST,0,0.861,1.1351
15,LV_inc05_ST,0,0.859,1.1351
15,LV_inc05_ST,0,0.854,1.1351
