mu,met,j,nmi,nc_norm
5,LV_grp02_ST,0,0.965,1.3243
5,LV_grp02_ST,0,0.97,1.3514
5,LV_grp02_ST,0,0.969,1.3514
5,LV_grp02_ST,0,0.969,1.3514
5,LV_grp02_ST,0,0.967,1.3243
5,LV_grp02_ST,0,0.967,1.3514
5,LV_grp02_ST,0,0.97,1.3514
5,LV_grp02_ST,0,0.967,1.3243
5,LV_grp02_ST,0,0.961,1.2973
5,LV_grp02_ST,0,0.968,1.3243
5,LV_grp02_ST,0,0.967,1.3514
5,LV_grp02_ST,0,0.967,1.3514
5,LV_grp02_ST,0,0.969,1.3514
5,LV_grp02_ST,0,0.968,1.3514
5,LV_grp02_ST,0,0.967,1.3514
5,LV_grp02_ST,0,0.968,1.3243
5,LV_grp02_ST,0,0.969,1.3514
5,LV_grp02_ST,0,0.968,1.3514
5,LV_grp02_ST,0,0.967,1.3243
5,LV_grp02_ST,0,0.969,1.3514
5,LV_grp02_ST,0,0.97,1.3514
5,LV_grp02_ST,0,0.967,1.3514
5,LV_grp02_ST,0,0.969,1.3514
5,LV_grp02_ST,0,0.969,1.3514
5,LV_grp02_ST,0,0.968,1.3243
5,LV_grp02_ST,0,0.967,1.3514
5,LV_grp02_ST,0,0.967,1.3514
5,LV_grp02_ST,0,0.967,1.3514
5,LV_grp02_ST,0,0.969,1.3514
5,LV_grp02_ST,0,0.97,1.3514
5,LV_grp02_ST,0,0.968,1.3243
5,LV_grp02_ST,0,0.967,1.3243
5,LV_grp02_ST,0,0.968,1.3243
5,LV_grp02_ST,0,0.969,1.3514
5,LV_grp02_ST,0,0.968,1.3243
5,LV_grp02_ST,0,0.969,1.3514
5,LV_grp02_ST,0,0.969,1.3514
5,LV_grp02_ST,0,0.969,1.3514
5,LV_grp02_ST,0,0.968,1.3243
5,LV_grp02_ST,0,0.97,1.3514
5,LV_grp02_ST,0,0.967,1.3514
5,LV_grp02_ST,0,0.969,1.3514
5,LV_grp02_ST,0,0.967,1.3514
5,LV_grp02_ST,0,0.969,1.3514
5,LV_grp02_ST,0,0.967,1.3514
5,LV_grp02_ST,0,0.967,1.3243
5,LV_grp02_ST,0,0.967,1.3243
5,LV_grp02_ST,0,0.96,1.2973
5,LV_grp02_ST,0,0.969,1.3514
5,LV_grp02_ST,0,0.968,1.3243
5,LV_grp02_ST,0,0.969,1.3514
5,LV_grp02_ST,0,0.968,1.3243
5,LV_grp02_ST,0,0.967,1.3514
5,LV_grp02_ST,0,0.969,1.3514
5,LV_grp02_ST,0,0.97,1.3514
5,LV_grp02_ST,0,0.969,1.3514
5,LV_grp02_ST,0,0.968,1.3514
5,LV_grp02_ST,0,0.967,1.3243
5,LV_grp02_ST,0,0.965,1.3243
5,LV_grp02_ST,0,0.968,1.3514
5,LV_grp02_ST,0,0.967,1.3514
5,LV_grp02_ST,0,0.967,1.3243
5,LV_grp02_ST,0,0.968,1.3243
5,LV_grp02_ST,0,0.968,1.3243
5,LV_grp02_ST,0,0.967,1.3243
