mu,mu_built_in,mu_emp,met,j,nmi,nc_norm
5,0.028,0.026,LV_ST,0,0.966,1.3243
5,0.028,0.027,LV_ST,0,0.964,1.3243
5,0.028,0.026,LV_ST,0,0.969,1.3514
5,0.028,0.026,LV_ST,0,0.969,1.3514
5,0.028,0.026,LV_ST,0,0.969,1.3514
5,0.028,0.026,LV_ST,0,0.969,1.3514
5,0.028,0.025,LV_ST,0,0.958,1.2973
5,0.028,0.026,LV_ST,0,0.97,1.3514
5,0.028,0.026,LV_ST,0,0.968,1.3514
5,0.028,0.026,LV_ST,0,0.969,1.3514
5,0.028,0.026,LV_ST,0,0.966,1.3243
5,0.028,0.026,LV_ST,0,0.966,1.3243
5,0.028,0.026,LV_ST,0,0.967,1.3514
5,0.028,0.026,LV_ST,0,0.967,1.3514
5,0.028,0.026,LV_ST,0,0.969,1.3514
5,0.028,0.026,LV_ST,0,0.968,1.3514
5,0.028,0.026,LV_ST,0,0.967,1.3514
5,0.028,0.026,LV_ST,0,0.969,1.3514
5,0.028,0.026,LV_ST,0,0.97,1.3514
5,0.028,0.025,LV_ST,0,0.957,1.2973
5,0.028,0.026,LV_ST,0,0.969,1.3514
5,0.028,0.026,LV_ST,0,0.97,1.3243
5,0.028,0.025,LV_ST,0,0.958,1.2973
5,0.028,0.026,LV_ST,0,0.969,1.3514
5,0.028,0.026,LV_ST,0,0.97,1.3514
5,0.028,0.026,LV_ST,0,0.968,1.3243
5,0.028,0.026,LV_ST,0,0.968,1.3243
5,0.028,0.026,LV_ST,0,0.967,1.3514
5,0.028,0.026,LV_ST,0,0.969,1.3243
5,0.028,0.026,LV_ST,0,0.969,1.3514
5,0.028,0.026,LV_ST,0,0.967,1.3514
5,0.028,0.026,LV_ST,0,0.969,1.3514
5,0.028,0.026,LV_ST,0,0.967,1.3514
5,0.028,0.026,LV_ST,0,0.966,1.3243
5,0.028,0.026,LV_ST,0,0.969,1.3514
5,0.028,0.026,LV_ST,0,0.967,1.3514
5,0.028,0.026,LV_ST,0,0.968,1.3514
5,0.028,0.026,LV_ST,0,0.968,1.3243
5,0.028,0.026,LV_ST,0,0.969,1.3514
5,0.028,0.026,LV_ST,0,0.969,1.3514
5,0.028,0.026,LV_ST,0,0.968,1.3514
5,0.028,0.026,LV_ST,0,0.967,1.3243
5,0.028,0.026,LV_ST,0,0.966,1.3243
5,0.028,0.026,LV_ST,0,0.969,1.3514
5,0.028,0.026,LV_ST,0,0.967,1.3243
5,0.028,0.026,LV_ST,0,0.969,1.3514
5,0.028,0.026,LV_ST,0,0.967,1.3514
5,0.028,0.026,LV_ST,0,0.967,1.3514
5,0.028,0.026,LV_ST,0,0.967,1.3514
5,0.028,0.026,LV_ST,0,0.969,1.3514
5,0.028,0.026,LV_ST,0,0.968,1.3243
5,0.028,0.026,LV_ST,0,0.969,1.3514
5,0.028,0.026,LV_ST,0,0.967,1.3514
5,0.028,0.026,LV_ST,0,0.969,1.3514
5,0.028,0.026,LV_ST,0,0.967,1.3514
5,0.028,0.026,LV_ST,0,0.969,1.3514
5,0.028,0.026,LV_ST,0,0.967,1.3514
5,0.028,0.026,LV_ST,0,0.968,1.3243
5,0.028,0.026,LV_ST,0,0.969,1.3514
5,0.028,0.026,LV_ST,0,0.97,1.3514
5,0.028,0.026,LV_ST,0,0.968,1.3243
5,0.028,0.028,LV_ST,0,0.961,1.3243
5,0.028,0.026,LV_ST,0,0.97,1.3514
5,0.028,0.026,LV_ST,0,0.97,1.3243
5,0.028,0.026,LV_ST,0,0.97,1.3514
5,0.028,0.026,LV_ST,0,0.969,1.3514
5,0.028,0.026,LV_ST,0,0.968,1.3514
5,0.028,0.027,LV_ST,0,0.967,1.3514
5,0.028,0.026,LV_ST,0,0.967,1.3514
5,0.028,0.026,LV_ST,0,0.967,1.3243
5,0.028,0.026,LV_ST,0,0.969,1.3514
5,0.028,0.026,LV_ST,0,0.968,1.3243
5,0.028,0.026,LV_ST,0,0.967,1.3514
5,0.028,0.025,LV_ST,0,0.957,1.2973
5,0.028,0.026,LV_ST,0,0.969,1.3514
5,0.028,0.026,LV_ST,0,0.968,1.3243
5,0.028,0.026,LV_ST,0,0.967,1.3514
5,0.028,0.026,LV_ST,0,0.967,1.3514
5,0.028,0.026,LV_ST,0,0.969,1.3514
5,0.028,0.026,LV_ST,0,0.969,1.3514
5,0.028,0.026,LV_ST,0,0.969,1.3514
5,0.028,0.026,LV_ST,0,0.969,1.3514
5,0.028,0.026,LV_ST,0,0.969,1.3514
5,0.028,0.026,LV_ST,0,0.968,1.3243
5,0.028,0.026,LV_ST,0,0.968,1.3514
5,0.028,0.026,LV_ST,0,0.969,1.3514
5,0.028,0.026,LV_ST,0,0.97,1.3514
5,0.028,0.026,LV_ST,0,0.969,1.3514
5,0.028,0.026,LV_ST,0,0.967,1.3514
5,0.028,0.026,LV_ST,0,0.97,1.3514
5,0.028,0.026,LV_ST,0,0.968,1.3243
5,0.028,0.026,LV_ST,0,0.967,1.3243
5,0.028,0.026,LV_ST,0,0.965,1.3243
5,0.028,0.026,LV_ST,0,0.968,1.3243
5,0.028,0.026,LV_ST,0,0.968,1.3243
5,0.028,0.026,LV_ST,0,0.967,1.3514
5,0.028,0.025,LV_ST,0,0.96,1.2973
5,0.028,0.026,LV_ST,0,0.967,1.3243
5,0.028,0.026,LV_ST,0,0.969,1.3514
5,0.028,0.026,LV_ST,0,0.968,1.3243
5,0.028,0.026463,LV_cons0.2,0,0.97,1.3514
5,0.028,0.026463,LV_cons0.5,0,0.969,1.3514
5,0.028,0.027481,LV_cons0.8,0,0.968,1.4054
5,0.028,0,LV_consLF,1,0.969,1.3514
5,0.028,0.026,LD_ST,1,0.961,1.3243
5,0.028,0.026,LD_ST,1,0.962,1.3243
5,0.028,0.025,LD_ST,1,0.945,1.2703
5,0.028,0.025,LD_ST,1,0.96,1.3243
5,0.028,0.026,LD_ST,1,0.961,1.3243
5,0.028,0.025,LD_ST,1,0.953,1.2973
5,0.028,0.025,LD_ST,1,0.954,1.2973
5,0.028,0.025,LD_ST,1,0.954,1.2973
5,0.028,0.025,LD_ST,1,0.953,1.2973
5,0.028,0.025,LD_ST,1,0.959,1.3243
5,0.028,0.026,LD_ST,1,0.96,1.3243
5,0.028,0.025,LD_ST,1,0.95,1.2973
5,0.028,0.025,LD_ST,1,0.953,1.2973
5,0.028,0.025,LD_ST,1,0.954,1.2973
5,0.028,0.026,LD_ST,1,0.961,1.3243
5,0.028,0.025,LD_ST,1,0.96,1.3243
5,0.028,0.024,LD_ST,1,0.943,1.2703
5,0.028,0.024,LD_ST,1,0.94,1.2703
5,0.028,0.025,LD_ST,1,0.955,1.2973
5,0.028,0.025,LD_ST,1,0.954,1.2973
5,0.028,0.024,LD_ST,1,0.943,1.2703
5,0.028,0.025,LD_ST,1,0.96,1.3243
5,0.028,0.025,LD_ST,1,0.958,1.2973
5,0.028,0.025,LD_ST,1,0.959,1.2973
5,0.028,0.026,LD_ST,1,0.963,1.3243
5,0.028,0.025,LD_ST,1,0.962,1.3243
5,0.028,0.025,LD_ST,1,0.958,1.2973
5,0.028,0.025,LD_ST,1,0.954,1.2973
5,0.028,0.025,LD_ST,1,0.957,1.2973
5,0.028,0.025,LD_ST,1,0.957,1.2973
5,0.028,0.025,LD_ST,1,0.956,1.2973
5,0.028,0.025,LD_ST,1,0.954,1.2973
5,0.028,0.025,LD_ST,1,0.953,1.2973
5,0.028,0.025,LD_ST,1,0.96,1.2973
5,0.028,0.025,LD_ST,1,0.953,1.2973
5,0.028,0.025,LD_ST,1,0.959,1.3243
5,0.028,0.025,LD_ST,1,0.96,1.3243
5,0.028,0.025,LD_ST,1,0.96,1.3243
5,0.028,0.025,LD_ST,1,0.954,1.2973
5,0.028,0.025,LD_ST,1,0.956,1.2973
5,0.028,0.025,LD_ST,1,0.962,1.3243
5,0.028,0.025,LD_ST,1,0.953,1.2973
5,0.028,0.025,LD_ST,1,0.956,1.2973
5,0.028,0.025,LD_ST,1,0.957,1.2973
5,0.028,0.025,LD_ST,1,0.955,1.2973
5,0.028,0.025,LD_ST,1,0.961,1.3243
5,0.028,0.026,LD_ST,1,0.961,1.3243
5,0.028,0.025,LD_ST,1,0.96,1.3243
5,0.028,0.025,LD_ST,1,0.958,1.2973
5,0.028,0.025,LD_ST,1,0.955,1.2973
5,0.028,0.026,LD_ST,1,0.961,1.3243
5,0.028,0.026,LD_ST,1,0.96,1.3243
5,0.028,0.026,LD_ST,1,0.962,1.3243
5,0.028,0.025,LD_ST,1,0.957,1.2973
5,0.028,0.025,LD_ST,1,0.954,1.2973
5,0.028,0.025,LD_ST,1,0.954,1.2973
5,0.028,0.025,LD_ST,1,0.954,1.2973
5,0.028,0.026,LD_ST,1,0.96,1.3243
5,0.028,0.026,LD_ST,1,0.961,1.3243
5,0.028,0.025,LD_ST,1,0.957,1.2973
5,0.028,0.025,LD_ST,1,0.962,1.3243
5,0.028,0.025,LD_ST,1,0.96,1.3243
5,0.028,0.025,LD_ST,1,0.957,1.2973
5,0.028,0.025,LD_ST,1,0.961,1.3243
5,0.028,0.025,LD_ST,1,0.946,1.2703
5,0.028,0.025,LD_ST,1,0.957,1.2973
5,0.028,0.024,LD_ST,1,0.942,1.2703
5,0.028,0.025,LD_ST,1,0.949,1.2703
5,0.028,0.026,LD_ST,1,0.963,1.3243
5,0.028,0.025,LD_ST,1,0.946,1.2703
5,0.028,0.025,LD_ST,1,0.954,1.2973
5,0.028,0.025,LD_ST,1,0.955,1.2973
5,0.028,0.026,LD_ST,1,0.961,1.3243
5,0.028,0.025,LD_ST,1,0.954,1.2973
5,0.028,0.026,LD_ST,1,0.961,1.3243
5,0.028,0.025,LD_ST,1,0.954,1.2973
5,0.028,0.025,LD_ST,1,0.95,1.2973
5,0.028,0.025,LD_ST,1,0.96,1.3243
5,0.028,0.026,LD_ST,1,0.962,1.3243
5,0.028,0.025,LD_ST,1,0.946,1.2703
5,0.028,0.025,LD_ST,1,0.953,1.2973
5,0.028,0.025,LD_ST,1,0.956,1.2973
5,0.028,0.025,LD_ST,1,0.951,1.2973
5,0.028,0.025,LD_ST,1,0.962,1.3243
