mm1,mm2,met1,met2,nmi_m1_m2
IM,LP,1,2,0.909158219962195
IM,LP,1,2,0.8866448133640246
IM,LP,1,2,0.909158219962195
IM,LP,1,2,0.9321930176125164
IM,LP,1,2,0.9094128484213738
IM,LP,1,2,0.886632679230231
IM,LP,1,2,0.9096796110143461
IM,LP,1,2,0.8868994418232033
IM,LP,1,2,0.954451795751508
IM,LP,1,2,0.9319383891533375
IM,LP,1,2,0.9319383891533375
IM,LP,1,2,0.9094128484213738
IM,LP,1,2,0.9321930176125164
IM,LP,1,2,0.9547064242106867
IM,LP,1,2,0.9324597802054887
IM,LP,1,2,0.9321930176125164
IM,LP,1,2,0.8638646441728814
IM,LP,1,2,0.8866448133640246
IM,LP,1,2,0.9096796110143459
IM,LP,1,2,0.8868994418232033
IM,LP,1,2,0.8641192726320603
IM,LP,1,2,0.8871662044161758
IM,LP,1,2,0.9094128484213738
IM,LP,1,2,0.9316716265603652
IM,LP,1,2,0.9096796110143459
IM,LP,1,2,0.8868994418232033
IM,LP,1,2,0.8641192726320603
IM,LP,1,2,0.8871662044161758
IM,LP,1,2,0.9094128484213738
IM,LP,1,2,0.9316716265603652
IM,LP,1,2,0.9094128484213738
IM,LP,1,2,0.886632679230231
IM,LP,1,2,0.9096796110143461
IM,LP,1,2,0.8868994418232033
IM,LP,1,2,0.954451795751508
IM,LP,1,2,0.9094128484213735
IM,LP,1,2,0.8871662044161758
IM,LP,1,2,0.9094128484213738
IM,LP,1,2,0.8863780507710523
IM,LP,1,2,0.9324597802054887
IM,LP,1,2,0.9321930176125164
IM,LP,1,2,0.8638646441728814
IM,LP,1,2,0.9321930176125164
IM,LP,1,2,0.8638646441728814
IM,LP,1,2,0.954451795751508
IM,ML,1,3,0.8871662044161758
IM,ML,1,3,0.9096796110143461
IM,ML,1,3,0.8871662044161758
IM,ML,1,3,0.9096796110143461
IM,ML,1,3,0.8871662044161758
IM,ML,1,3,0.9096796110143461
IM,ML,1,3,0.8871662044161758
IM,ML,1,3,0.8871662044161758
IM,ML,1,3,0.9096796110143461
IM,ML,1,3,0.8871662044161758
IM,ML,1,3,0.9324597802054887
IM,ML,1,3,0.8871662044161758
IM,ML,1,3,0.9096796110143461
IM,ML,1,3,0.8871662044161758
IM,ML,1,3,0.9324597802054887
IM,ML,1,3,0.9324597802054887
IM,ML,1,3,0.9099463736073182
IM,ML,1,3,0.8871662044161758
IM,ML,1,3,0.9324597802054887
IM,ML,1,3,0.9324597802054887
IM,ML,1,3,0.9324597802054887
IM,ML,1,3,0.8871662044161758
IM,ML,1,3,0.9096796110143461
IM,ML,1,3,0.9096796110143461
IM,ML,1,3,0.9324597802054887
IM,ML,1,3,0.9324597802054887
IM,ML,1,3,0.9324597802054887
IM,ML,1,3,0.8871662044161758
IM,ML,1,3,0.9096796110143461
IM,ML,1,3,0.9096796110143461
IM,ML,1,3,0.8871662044161758
IM,ML,1,3,0.9096796110143461
IM,ML,1,3,0.8871662044161758
IM,ML,1,3,0.8871662044161758
IM,ML,1,3,0.9096796110143461
IM,ML,1,3,0.9324597802054887
IM,ML,1,3,0.9096796110143461
IM,ML,1,3,0.9096796110143461
IM,ML,1,3,0.8871662044161758
IM,ML,1,3,0.9324597802054887
IM,ML,1,3,0.9324597802054887
IM,ML,1,3,0.9099463736073182
IM,ML,1,3,0.9324597802054887
IM,ML,1,3,0.9099463736073182
IM,ML,1,3,0.9096796110143461
IM,WT,1,4,0.9549731868036592
IM,WT,1,4,0.9549731868036592
IM,WT,1,4,0.9549731868036592
IM,WT,1,4,0.9549731868036592
IM,WT,1,4,0.9549731868036592
IM,WT,1,4,0.9549731868036592
IM,WT,1,4,0.9549731868036592
IM,WT,1,4,0.9549731868036592
IM,WT,1,4,0.9549731868036592
IM,WT,1,4,0.9096796110143461
IM,WT,1,4,0.9096796110143461
IM,WT,1,4,0.9096796110143461
IM,WT,1,4,0.9096796110143461
IM,WT,1,4,0.9096796110143461
IM,WT,1,4,0.9096796110143461
IM,WT,1,4,0.9096796110143461
IM,WT,1,4,0.9096796110143461
IM,WT,1,4,0.9549731868036592
IM,WT,1,4,0.9549731868036592
IM,WT,1,4,0.9549731868036592
IM,WT,1,4,0.9549731868036592
IM,WT,1,4,0.9549731868036592
IM,WT,1,4,0.9549731868036592
IM,WT,1,4,0.9549731868036592
IM,WT,1,4,0.9549731868036592
IM,WT,1,4,0.9549731868036592
IM,WT,1,4,0.9549731868036592
IM,WT,1,4,0.9549731868036592
IM,WT,1,4,0.9549731868036592
IM,WT,1,4,0.9549731868036592
IM,WT,1,4,0.9549731868036592
IM,WT,1,4,0.9549731868036592
IM,WT,1,4,0.9549731868036592
IM,WT,1,4,0.9549731868036592
IM,WT,1,4,0.9549731868036592
IM,WT,1,4,0.9096796110143461
IM,WT,1,4,0.9096796110143461
IM,WT,1,4,0.9096796110143461
IM,WT,1,4,0.9096796110143461
IM,WT,1,4,0.9096796110143461
IM,WT,1,4,0.9096796110143461
IM,WT,1,4,0.9096796110143461
IM,WT,1,4,0.9096796110143461
IM,WT,1,4,0.9096796110143461
IM,WT,1,4,0.9549731868036592
LP,IM,2,1,0.9321930176125164
LP,IM,2,1,0.8868994418232033
LP,IM,2,1,0.8868994418232033
LP,IM,2,1,0.9094128484213738
LP,IM,2,1,0.9096796110143459
LP,IM,2,1,0.9321930176125164
LP,IM,2,1,0.9321930176125164
LP,IM,2,1,0.9094128484213738
LP,IM,2,1,0.8868994418232033
LP,IM,2,1,0.8866448133640246
LP,IM,2,1,0.8866448133640246
LP,IM,2,1,0.909158219962195
LP,IM,2,1,0.9094249825551671
LP,IM,2,1,0.9319383891533375
