method,mu,mod,nc,nmi
IM,0.0417,0.8358,9,1
LP,0.0391,0.8358,8,1
ML,0.0391,0.8359,8,1
WT,0.0417,0.8358,9,1
IM,0.0417,0.8358,9,1
LP,0.0391,0.8358,8,1
ML,0.0391,0.8359,8,1
WT,0.0417,0.8358,9,1
IM,0.0417,0.8358,9,1
LP,0.0391,0.8358,8,1
ML,0.0391,0.8359,8,1
WT,0.0417,0.8358,9,1
IM,0.0417,0.8358,9,1
LP,0.0391,0.8358,8,1
ML,0.0391,0.8359,8,1
WT,0.0417,0.8358,9,1
IM,0.0417,0.8358,9,1
LP,0.0391,0.8358,8,1
ML,0.0391,0.8359,8,1
WT,0.0417,0.8358,9,1
IM,0.0417,0.8358,9,1
LP,0.0391,0.8357,8,1
ML,0.0391,0.8359,8,1
WT,0.0417,0.8358,9,1
IM,0.0417,0.8358,9,1
LP,0.0391,0.8358,8,1
ML,0.0391,0.8359,8,1
WT,0.0417,0.8358,9,1
IM,0.0417,0.8358,9,1
LP,0.0391,0.8359,8,1
ML,0.0391,0.8359,8,1
WT,0.0417,0.8358,9,1
IM,0.0417,0.8358,9,1
LP,0.0391,0.8357,8,1
ML,0.0391,0.8359,8,1
WT,0.0417,0.8358,9,1
IM,0.0417,0.8358,9,1
LP,0.0391,0.8358,8,1
ML,0.0391,0.8359,8,1
WT,0.0417,0.8358,9,1
