method,mu,mod,nc,nmi
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.8198,0.0353,7,1
WT,0.8188,0.0145,7,1
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7904,0.0356,6,1
WT,0.8188,0.0145,7,1
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7912,0.036,6,1
WT,0.8188,0.0145,7,1
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.761,0.0369,5,1
WT,0.8188,0.0145,7,1
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.8058,0.0349,7,1
WT,0.8188,0.0145,7,1
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.8138,0.0355,7,1
WT,0.8188,0.0145,7,1
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.8145,0.0347,7,1
WT,0.8188,0.0145,7,1
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.8071,0.036,7,1
WT,0.8188,0.0145,7,1
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7911,0.0358,6,1
WT,0.8188,0.0145,7,1
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7989,0.0361,7,1
WT,0.8188,0.0145,7,1
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.8133,0.0348,7,1
WT,0.8188,0.0145,7,1
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.8162,0.0358,7,1
WT,0.8188,0.0145,7,1
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.8139,0.0353,7,1
WT,0.8188,0.0145,7,1
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7927,0.0367,6,1
WT,0.8188,0.0145,7,1
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.8117,0.0345,7,1
WT,0.8188,0.0145,7,1
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.8143,0.0349,7,1
WT,0.8188,0.0145,7,1
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.8093,0.0348,7,1
WT,0.8188,0.0145,7,1
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7819,0.0364,6,1
WT,0.8188,0.0145,7,1
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.8196,0.0352,7,1
WT,0.8188,0.0145,7,1
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.8136,0.0348,7,1
WT,0.8188,0.0145,7,1
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7971,0.0359,6,1
WT,0.8188,0.0145,7,1
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.8012,0.0357,7,1
WT,0.8188,0.0145,7,1
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7918,0.0351,6,1
WT,0.8188,0.0145,7,1
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.8125,0.0355,7,1
WT,0.8188,0.0145,7,1
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7938,0.0361,6,1
WT,0.8188,0.0145,7,1
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.8074,0.0356,7,1
WT,0.8188,0.0145,7,1
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.8195,0.0357,7,1
WT,0.8188,0.0145,7,1
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7961,0.0365,6,1
WT,0.8188,0.0145,7,1
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.8093,0.0352,7,1
WT,0.8188,0.0145,7,1
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.8139,0.0347,7,1
WT,0.8188,0.0145,7,1
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7925,0.0362,6,1
WT,0.8188,0.0145,7,1
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7848,0.0353,6,1
WT,0.8188,0.0145,7,1
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.8183,0.0356,7,1
WT,0.8188,0.0145,7,1
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7784,0.0365,6,1
WT,0.8188,0.0145,7,1
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7897,0.037,6,1
WT,0.8188,0.0145,7,1
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.8071,0.0354,7,1
WT,0.8188,0.0145,7,1
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.8155,0.0356,7,1
WT,0.8188,0.0145,7,1
IM,0,0,1,NA
LP,0,0,1,NA
