method,mu,mod,nc,nmi
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7621,0.1155,9,1
WT,0.7066,0.0876,5,1
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.783,0.1096,10,1
WT,0.7066,0.0876,5,1
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7475,0.1194,8,1
WT,0.7066,0.0876,5,1
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7509,0.1179,8,1
WT,0.7066,0.0876,5,1
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7785,0.1096,10,1
WT,0.7066,0.0876,5,1
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7737,0.1113,9,1
WT,0.7066,0.0876,5,1
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7741,0.1105,10,1
WT,0.7066,0.0876,5,1
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.742,0.1146,8,1
WT,0.7066,0.0876,5,1
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7702,0.1152,9,1
WT,0.7066,0.0876,5,1
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7633,0.1151,9,1
WT,0.7066,0.0876,5,1
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7761,0.1119,10,1
WT,0.7066,0.0876,5,1
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7649,0.1121,9,1
WT,0.7066,0.0876,5,1
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.754,0.115,8,1
WT,0.7066,0.0876,5,1
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7664,0.1164,9,1
WT,0.7066,0.0876,5,1
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7705,0.1148,10,1
WT,0.7066,0.0876,5,1
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7369,0.1148,7,1
WT,0.7066,0.0876,5,1
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7408,0.1124,7,1
WT,0.7066,0.0876,5,1
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7737,0.10780000000000001,9,1
WT,0.7066,0.0876,5,1
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7619,0.1114,9,1
WT,0.7066,0.0876,5,1
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.789,0.111,12,1
WT,0.7066,0.0876,5,1
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7728,0.1136,10,1
WT,0.7066,0.0876,5,1
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7614,0.1129,9,1
WT,0.7066,0.0876,5,1
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7715,0.1137,10,1
WT,0.7066,0.0876,5,1
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7474,0.1189,8,1
WT,0.7066,0.0876,5,1
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7958,0.1132,12,1
WT,0.7066,0.0876,5,1
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7479,0.1153,8,1
WT,0.7066,0.0876,5,1
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7637,0.1118,9,1
WT,0.7066,0.0876,5,1
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7745,0.1093,9,1
WT,0.7066,0.0876,5,1
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7747,0.1138,10,1
WT,0.7066,0.0876,5,1
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7755,0.1087,9,1
WT,0.7066,0.0876,5,1
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7714,0.1108,9,1
WT,0.7066,0.0876,5,1
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7531,0.1166,8,1
WT,0.7066,0.0876,5,1
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7541,0.1136,8,1
WT,0.7066,0.0876,5,1
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7663,0.1145,10,1
WT,0.7066,0.0876,5,1
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.749,0.1158,9,1
WT,0.7066,0.0876,5,1
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7783,0.1106,10,1
WT,0.7066,0.0876,5,1
IM,0,0,1,NA
LP,0,0,1,NA
ML,0.7806,0.1124,10,1
WT,0.7066,0.0876,5,1
IM,0,0,1,NA
LP,0,0,1,NA
