mu,mu_built_in,mu_emp,met,nmi,nc_norm,gamma_mean,gamma_min,gamma_max
5,0.028,0.026,LV_ST,0.9686912834581446,1.2162,0,0,0
5,0.028,0.026,LV_ST,0.968531760126917,1.2162,0,0,0
5,0.028,0.026,LV_ST,0.9682005686126041,1.1892,0,0,0
5,0.028,0.026,LV_ST,0.968531760126917,1.2162,0,0,0
5,0.028,0.026,LV_ST,0.9684846542381197,1.2162,0,0,0
5,0.028,0.026,LV_ST,0.9682005686126041,1.1892,0,0,0
5,0.028,0.026,LV_ST,0.9694826752719637,1.1892,0,0,0
5,0.028,0.026,LV_ST,0.9682005686126041,1.1892,0,0,0
5,0.028,0.025,LV_ST,0.9601346464137249,1.1622,0,0,0
5,0.028,0.026,LV_ST,0.9674226722246592,1.2162,0,0,0
5,0.028,0.026,LV_ST,0.9674226722246592,1.2162,0,0,0
5,0.028,0.026,LV_ST,0.9674226722246592,1.2162,0,0,0
5,0.028,0.026,LV_ST,0.9671342511942277,1.1892,0,0,0
5,0.028,0.026,LV_ST,0.9659608236954689,1.1892,0,0,0
5,0.028,0.026,LV_ST,0.968531760126917,1.2162,0,0,0
5,0.028,0.026,LV_ST,0.9695441336508085,1.1892,0,0,0
5,0.028,0.026,LV_ST,0.9670906406639865,1.1892,0,0,0
5,0.028,0.026,LV_ST,0.9698005353686131,1.2162,0,0,0
5,0.028,0.026,LV_ST,0.968531760126917,1.2162,0,0,0
5,0.028,0.026,LV_ST,0.968531760126917,1.2162,0,0,0
5,0.028,0.026,LV_ST,0.9670770922303094,1.1892,0,0,0
5,0.028,0.026,LV_ST,0.9674685230807382,1.2162,0,0,0
5,0.028,0.026,LV_ST,0.9682019536417283,1.1892,0,0,0
5,0.028,0.026,LV_ST,0.968531760126917,1.2162,0,0,0
5,0.028,0.026,LV_ST,0.9682646045892845,1.1892,0,0,0
5,0.028,0.026,LV_ST,0.9686912834581446,1.2162,0,0,0
5,0.028,0.026,LV_ST,0.9670906406639865,1.1892,0,0,0
5,0.028,0.026,LV_ST,0.968531760126917,1.2162,0,0,0
5,0.028,0.026,LV_ST,0.968531760126917,1.2162,0,0,0
5,0.028,0.026,LV_ST,0.9674226722246592,1.2162,0,0,0
5,0.028,0.025,LV_ST,0.9613103362166283,1.1622,0,0,0
5,0.028,0.026,LV_ST,0.968531760126917,1.2162,0,0,0
5,0.028,0.026,LV_ST,0.9686912834581446,1.2162,0,0,0
5,0.028,0.026,LV_ST,0.9671461202537055,1.1892,0,0,0
5,0.028,0.026,LV_ST,0.9682005686126041,1.1892,0,0,0
