mu,mu_built_in,mu_emp,met,j,nmi,nc_norm,uncertain_nodes,uncertainty_q10,uncertainty_q50,uncertainty_q90
5,0.051,0.046,LV_ST,1,0.9313154639395896,0.7101,0,0,0,0
5,0.051,0.046,LV_ST,1,0.9313154639395896,0.7101,0,0,0,0
5,0.051,0.046,LV_ST,1,0.9256836600830219,0.6957,0,0,0,0
5,0.051,0.046,LV_ST,1,0.9313154639395896,0.7101,0,0,0,0
5,0.051,0.045,LV_ST,1,0.9152224400279595,0.6667,0,0,0,0
5,0.051,0.046,LV_ST,1,0.9211442861937666,0.6812,0,0,0,0
5,0.051,0.046,LV_ST,1,0.9266476927877485,0.6957,0,0,0,0
5,0.051,0.046,LV_ST,1,0.9313154639395896,0.7101,0,0,0,0
5,0.051,0.046,LV_ST,1,0.9247579614296298,0.6957,0,0,0,0
5,0.051,0.046,LV_ST,1,0.9188306264098417,0.6812,0,0,0,0
5,0.051,0.045,LV_ST,1,0.9143739686627282,0.6667,0,0,0,0
5,0.051,0.046,LV_ST,1,0.920931471172688,0.6812,0,0,0,0
5,0.051,0.046,LV_ST,1,0.9313154639395896,0.7101,0,0,0,0
5,0.051,0.046,LV_ST,1,0.9204780242367171,0.6812,0,0,0,0
5,0.051,0.046,LV_ST,1,0.9313154639395896,0.7101,0,0,0,0
5,0.051,0.046,LV_ST,1,0.9266476927877485,0.6957,0,0,0,0
5,0.051,0.046,LV_ST,1,0.9255992423245293,0.6957,0,0,0,0
5,0.051,0.046,LV_ST,1,0.9254511545738633,0.6957,0,0,0,0
5,0.051,0.046,LV_ST,1,0.9247579614296298,0.6957,0,0,0,0
5,0.051,0.046,LV_ST,1,0.9313154639395896,0.7101,0,0,0,0
5,0.051,0.046,LV_ST,1,0.9266476927877485,0.6957,0,0,0,0
5,0.051,0.046,LV_ST,1,0.919879076873061,0.6812,0,0,0,0
5,0.051,0.046,LV_ST,1,0.9266476927877485,0.6957,0,0,0,0
5,0.051,0.046,LV_ST,1,0.9313154639395896,0.7101,0,0,0,0
5,0.051,0.046,LV_ST,1,0.9266476927877485,0.6957,0,0,0,0
5,0.051,0.046,LV_ST,1,0.9210158889311808,0.6812,0,0,0,0
5,0.051,0.045,LV_ST,1,0.9190417398145695,0.6812,0,0,0,0
5,0.051,0.046,LV_ST,1,0.9313154639395896,0.7101,0,0,0,0
5,0.051,0.046,LV_ST,1,0.920931471172688,0.6812,0,0,0,0
5,0.051,0.045,LV_ST,1,0.9190417398145695,0.6812,0,0,0,0
5,0.051,0.046,LV_ST,1,0.9257822951157483,0.6957,0,0,0,0
5,0.051,0.046,LV_ST,1,0.9189150441683345,0.6812,0,0,0,0
5,0.051,0.046,LV_ST,1,0.9247579614296298,0.6957,0,0,0,0
5,0.051,0.046,LV_ST,1,0.9313154639395896,0.7101,0,0,0,0
5,0.051,0.046,LV_ST,1,0.9313154639395896,0.7101,0,0,0,0
5,0.051,0.046,LV_ST,1,0.9313154639395896,0.7101,0,0,0,0
5,0.051,0.046,LV_ST,1,0.9255992423245293,0.6957,0,0,0,0
5,0.051,0.046,LV_ST,1,0.9313154639395896,0.7101,0,0,0,0
5,0.051,0.046,LV_ST,1,0.9313154639395896,0.7101,0,0,0,0
5,0.051,0.046,LV_ST,1,0.9211442861937666,0.6812,0,0,0,0
5,0.051,0.046,LV_ST,1,0.9313154639395896,0.7101,0,0,0,0
5,0.051,0.046,LV_ST,1,0.9313154639395896,0.7101,0,0,0,0
5,0.051,0.046,LV_ST,1,0.9216110363264421,0.6812,0,0,0,0
5,0.051,0.046,LV_ST,1,0.920931471172688,0.6812,0,0,0,0
5,0.051,0.046,LV_ST,1,0.9245264496643472,0.6957,0,0,0,0
5,0.051,0.046,LV_ST,1,0.9313154639395896,0.7101,0,0,0,0
5,0.051,0.046,LV_ST,1,0.9266476927877485,0.6957,0,0,0,0
5,0.051,0.046,LV_ST,1,0.9188077657022103,0.6812,0,0,0,0
5,0.051,0.046,LV_ST,1,0.9313154639395896,0.7101,0,0,0,0
5,0.051,0.046,LV_ST,1,0.9245468480249021,0.6957,0,0,0,0
5,0.051,0.046,LV_consRec,1,0.9313154639395896,0.7101,0,0,0,0
5,0.051,0.046,LV_CCD_p06,1,0.9313154639395896,0.7101,0,0.113077,0.394545,0.6472
5,0.051,0.046,LV_CCD_p09g,1,0.9349406642429986,0.7246,0.418,0.113077,0.394545,0.6472
5,0.051,0.046,LD_ST,1,0.9247579614296298,0.6957,0,0,0,0.6472
5,0.051,0.046,LD_ST,1,0.9247579614296298,0.6957,0,0,0,0.6472
5,0.051,0.046,LD_ST,1,0.9247579614296298,0.6957,0,0,0,0.6472
5,0.051,0.046,LD_ST,1,0.9247579614296298,0.6957,0,0,0,0.6472
5,0.051,0.045,LD_ST,1,0.9200901902777887,0.6812,0,0,0,0.6472
5,0.051,0.046,LD_ST,1,0.9247579614296298,0.6957,0,0,0,0.6472
5,0.051,0.045,LD_ST,1,0.9200901902777887,0.6812,0,0,0,0.6472
5,0.051,0.046,LD_ST,1,0.9247579614296298,0.6957,0,0,0,0.6472
