method,mu_built_in,mu_emp,mod,nc,nc_norm,nmi
FG,0.7129,0.3933,0.5314,21,0.5675675675675675,0.155
IM,0.7129,0.5216,0.4671,133,3.5945945945945947,0.402
LP,0.7129,0.4779,0.4878,66,1.7837837837837838,0.34
ML,0.7129,0.4066,0.5332,25,0.6756756756756757,0.194
WT,0.7129,0.558,0.3919,231,6.243243243243243,0.413
LV,0.7129,0.4071,0.533,22,0.5945945945945946,0.18
FG,0.7129,0.3933,0.5314,21,0.5675675675675675,0.155
IM,0.7129,0.527,0.4622,136,3.675675675675676,0.402
LP,0.7129,0.4661,0.497,62,1.6756756756756757,0.329
ML,0.7129,0.3987,0.5332,23,0.6216216216216216,0.168
WT,0.7129,0.558,0.3919,231,6.243243243243243,0.413
LV,0.7129,0.4145,0.5313,25,0.6756756756756757,0.196
FG,0.7129,0.3933,0.5314,21,0.5675675675675675,0.155
IM,0.7129,0.5202,0.4683,131,3.5405405405405403,0.399
LP,0.7129,0.5049,0.4729,93,2.5135135135135136,0.374
ML,0.7129,0.4076,0.5292,24,0.6486486486486487,0.183
WT,0.7129,0.558,0.3919,231,6.243243243243243,0.413
LV,0.7129,0.3958,0.5341,21,0.5675675675675675,0.167
FG,0.7129,0.3933,0.5314,21,0.5675675675675675,0.155
IM,0.7129,0.5202,0.4686,132,3.5675675675675675,0.397
LP,0.7129,0.4656,0.4927,65,1.7567567567567568,0.324
ML,0.7129,0.3997,0.5299,22,0.5945945945945946,0.176
WT,0.7129,0.558,0.3919,231,6.243243243243243,0.413
LV,0.7129,0.4017,0.5324,22,0.5945945945945946,0.169
FG,0.7129,0.3933,0.5314,21,0.5675675675675675,0.155
IM,0.7129,0.5206,0.4679,135,3.6486486486486487,0.398
LP,0.7129,0.4626,0.492,63,1.7027027027027026,0.326
ML,0.7129,0.4012,0.5346,23,0.6216216216216216,0.17
WT,0.7129,0.558,0.3919,231,6.243243243243243,0.413
LV,0.7129,0.4007,0.5364,23,0.6216216216216216,0.176
FG,0.7129,0.3933,0.5314,21,0.5675675675675675,0.155
IM,0.7129,0.5211,0.4678,131,3.5405405405405403,0.406
LP,0.7129,0.4474,0.49370000000000003,55,1.4864864864864864,0.295
ML,0.7129,0.4002,0.5344,21,0.5675675675675675,0.162
WT,0.7129,0.558,0.3919,231,6.243243243243243,0.413
LV,0.7129,0.3992,0.5365,23,0.6216216216216216,0.183
FG,0.7129,0.3933,0.5314,21,0.5675675675675675,0.155
IM,0.7129,0.5231,0.4662,130,3.5135135135135136,0.402
LP,0.7129,0.002,0.0098,7,0.1891891891891892,0.012
ML,0.7129,0.4081,0.5323,24,0.6486486486486487,0.184
WT,0.7129,0.558,0.3919,231,6.243243243243243,0.413
LV,0.7129,0.4051,0.5336,24,0.6486486486486487,0.187
FG,0.7129,0.3933,0.5314,21,0.5675675675675675,0.155
IM,0.7129,0.5231,0.4661,132,3.5675675675675675,0.404
LP,0.7129,0.4931,0.4803,76,2.054054054054054,0.346
ML,0.7129,0.4041,0.5334,24,0.6486486486486487,0.181
WT,0.7129,0.558,0.3919,231,6.243243243243243,0.413
LV,0.7129,0.4036,0.5326,24,0.6486486486486487,0.189
FG,0.7129,0.3933,0.5314,21,0.5675675675675675,0.155
IM,0.7129,0.5231,0.4656,135,3.6486486486486487,0.403
LP,0.7129,0.0025,0.0117,8,0.21621621621621623,0.014
ML,0.7129,0.4017,0.5291,21,0.5675675675675675,0.159
WT,0.7129,0.558,0.3919,231,6.243243243243243,0.413
LV,0.7129,0.411,0.5319,25,0.6756756756756757,0.195
FG,0.7129,0.3933,0.5314,21,0.5675675675675675,0.155
IM,0.7129,0.5221,0.4662,134,3.6216216216216215,0.398
LP,0.7129,0.4676,0.4909,66,1.7837837837837838,0.337
ML,0.7129,0.4007,0.5352,22,0.5945945945945946,0.175
WT,0.7129,0.558,0.3919,231,6.243243243243243,0.413
LV,0.7129,0.4164,0.5307,26,0.7027027027027027,0.2
FG,0.7129,0.3933,0.5314,21,0.5675675675675675,0.155
IM,0.7129,0.5251,0.4639,135,3.6486486486486487,0.397
LP,0.7129,0.4533,0.4999,55,1.4864864864864864,0.308
ML,0.7129,0.4031,0.5332,24,0.6486486486486487,0.173
WT,0.7129,0.558,0.3919,231,6.243243243243243,0.413
LV,0.7129,0.4076,0.5341,24,0.6486486486486487,0.193
FG,0.7129,0.3933,0.5314,21,0.5675675675675675,0.155
IM,0.7129,0.5221,0.4664,135,3.6486486486486487,0.399
LP,0.7129,0.4892,0.4836,71,1.9189189189189189,0.334
ML,0.7129,0.4125,0.5313,24,0.6486486486486487,0.189
WT,0.7129,0.558,0.3919,231,6.243243243243243,0.413
LV,0.7129,0.411,0.5308,24,0.6486486486486487,0.181
FG,0.7129,0.3933,0.5314,21,0.5675675675675675,0.155
