method,mu_built_in,mu_emp,mod,nc,nc_norm,nmi
LV,0.9387,0.9387,0.0304,49,1.3243243243243243,0.194
LV,0.9319,0.9319,0.0382,50,1.3513513513513513,0.209
LV,0.9358,0.9358,0.0335,50,1.3513513513513513,0.202
LV,0.9382,0.9382,0.0302,50,1.3513513513513513,0.204
LV,0.9353,0.9353,0.0348,50,1.3513513513513513,0.204
LV,0.9348,0.9348,0.0345,50,1.3513513513513513,0.206
LV,0.9328,0.9328,0.0372,50,1.3513513513513513,0.205
LV,0.9358,0.9358,0.0341,50,1.3513513513513513,0.206
LV,0.9324,0.9324,0.0366,49,1.3243243243243243,0.206
LV,0.9358,0.9358,0.0332,50,1.3513513513513513,0.199
