method,mu,mod,nc,nmi
IM,0.0114,0.79,7,1
LP,0.0093,0.7907,5,1
ML,0.0093,0.7907,5,1
WT,0.0104,0.7907,6,1
IM,0.0114,0.79,7,1
LP,0.0093,0.7907,5,1
ML,0.0093,0.7907,5,1
WT,0.0104,0.7907,6,1
IM,0.0114,0.79,7,1
LP,0.0093,0.7907,5,1
ML,0.0093,0.7907,5,1
WT,0.0104,0.7907,6,1
IM,0.0114,0.79,7,1
LP,0.0093,0.7907,5,1
ML,0.0093,0.7907,5,1
WT,0.0104,0.7907,6,1
IM,0.0114,0.79,7,1
LP,0.0093,0.7907,5,1
ML,0.0093,0.7907,5,1
WT,0.0104,0.7907,6,1
IM,0.0114,0.79,7,1
LP,0.0093,0.7907,5,1
ML,0.0093,0.7907,5,1
WT,0.0104,0.7907,6,1
IM,0.0114,0.79,7,1
LP,0.0093,0.7907,5,1
ML,0.0093,0.7907,5,1
WT,0.0104,0.7907,6,1
IM,0.0114,0.79,7,1
LP,0.0093,0.7907,5,1
ML,0.0093,0.7907,5,1
WT,0.0104,0.7907,6,1
IM,0.0114,0.79,7,1
LP,0.0093,0.7907,5,1
ML,0.0093,0.7907,5,1
WT,0.0104,0.7907,6,1
IM,0.0114,0.79,7,1
LP,0.0093,0.7907,5,1
ML,0.0093,0.7907,5,1
WT,0.0104,0.7907,6,1
