"","method","mu","mod","nc","nmi","nc_norm"
"1","IM_cons_g_cons",0.0275,0.908,72,0.908,1.94594594594595
"2","IM_cons_g_cons",0.0776,0.8773,72,0.896,1.94594594594595
"3","IM_cons_g_cons",0.1293,0.8205,89,0.846,2.40540540540541
"4","IM_cons_g_cons",0.1997,0.7446,110,0.796,2.97297297297297
"5","IM_cons_g_cons",0.244,0.706,106,0.785,2.86486486486486
"6","IM_cons_g_cons",0.3221,0.6207,135,0.678,3.64864864864865
"7","IM_cons_g_cons",0.3646,0.5698,151,0.635,4.08108108108108
"8","IM_cons_g_cons",0.4182,0.4929,186,0.587,5.02702702702703
"9","IM_cons_g_cons",0.4495,0.4533,204,0.571,5.51351351351351
"10","IM_cons_g_cons",0.6014,0.3723,229,0.462,6.18918918918919
"11","IM_cons_g_cons",0.6699,0.3495,227,0.432,6.13513513513514
"12","IM_cons_g_cons",0.7129,0.3232,242,0.424,6.54054054054054
