"","method","mu","mod","nc","nmi","nc_norm"
"1","IM_cons_high_cons",0.0275,0.908,76,0.908,2.05405405405405
"2","IM_cons_high_cons",0.0776,0.8773,73,0.896,1.97297297297297
"3","IM_cons_high_cons",0.1293,0.8205,93,0.846,2.51351351351351
"4","IM_cons_high_cons",0.1997,0.7455,115,0.797,3.10810810810811
"5","IM_cons_high_cons",0.244,0.7065,111,0.787,3
"6","IM_cons_high_cons",0.3221,0.6159,165,0.681,4.45945945945946
"7","IM_cons_high_cons",0.3646,0.5678,196,0.643,5.2972972972973
"8","IM_cons_high_cons",0.4182,0.4833,250,0.599,6.75675675675676
"9","IM_cons_high_cons",0.4495,0.4428,292,0.584,7.89189189189189
"10","IM_cons_high_cons",0.6014,0.3686,352,0.49,9.51351351351351
"11","IM_cons_high_cons",0.6699,0.3432,369,0.468,9.97297297297297
"12","IM_cons_high_cons",0.7129,0.2995,430,0.466,11.6216216216216
