"","method","mu","mod","nc","nmi","nc_norm"
"1","IM_cons_inc_cons",0.0275,0.9085,75,0.909,2.02702702702703
"2","IM_cons_inc_cons",0.0776,0.8773,73,0.896,1.97297297297297
"3","IM_cons_inc_cons",0.1293,0.8225,89,0.849,2.40540540540541
"4","IM_cons_inc_cons",0.1997,0.7648,88,0.822,2.37837837837838
"5","IM_cons_inc_cons",0.244,0.7207,89,0.802,2.40540540540541
"6","IM_cons_inc_cons",0.3221,0.6588,101,0.705,2.72972972972973
"7","IM_cons_inc_cons",0.3646,0.629,107,0.672,2.89189189189189
"8","IM_cons_inc_cons",0.4182,0.5653,112,0.61,3.02702702702703
"9","IM_cons_inc_cons",0.4495,0.5506,111,0.595,3
"10","IM_cons_inc_cons",0.6014,0.5031,120,0.456,3.24324324324324
"11","IM_cons_inc_cons",0.6699,0.474,119,0.418,3.21621621621622
"12","IM_cons_inc_cons",0.7129,0.4613,123,0.387,3.32432432432432
