"","method","mu","mod","nc","nmi","nc_norm"
"1","LP_high_cons",0.0275,0.8011,177,0.791,4.78378378378378
"2","LP_high_cons",0.0776,0.7564,197,0.771,5.32432432432432
"3","LP_high_cons",0.1293,0.7087,224,0.746,6.05405405405405
"4","LP_high_cons",0.1997,0.6285,279,0.71,7.54054054054054
"5","LP_high_cons",0.244,0.5634,319,0.696,8.62162162162162
"6","LP_high_cons",0.3221,0.4351,450,0.62,12.1621621621622
"7","LP_high_cons",0.3646,0.3975,489,0.607,13.2162162162162
"8","LP_high_cons",0.4182,0.2698,596,0.568,16.1081081081081
"9","LP_high_cons",0.4495,0.2748,600,0.568,16.2162162162162
"10","LP_high_cons",0.6014,0.1827,705,0.517,19.0540540540541
"11","LP_high_cons",0.6699,0.15,729,0.504,19.7027027027027
"12","LP_high_cons",0.7129,0.1553,730,0.501,19.7297297297297
