"","method","mu","mod","nc","nmi","nc_norm"
"1","LP_inc_cons",0.0275,0.9156,63,0.93,1.7027027027027
"2","LP_inc_cons",0.0776,0.8809,58,0.895,1.56756756756757
"3","LP_inc_cons",0.1293,0.8165,63,0.836,1.7027027027027
"4","LP_inc_cons",0.1997,0.7654,56,0.802,1.51351351351351
"5","LP_inc_cons",0.244,0.7222,53,0.753,1.43243243243243
"6","LP_inc_cons",0.3221,0.6496,66,0.647,1.78378378378378
"7","LP_inc_cons",0.3646,0.6177,76,0.631,2.05405405405405
"8","LP_inc_cons",0.4182,0.5649,70,0.564,1.89189189189189
"9","LP_inc_cons",0.4495,0.517,73,0.56,1.97297297297297
"10","LP_inc_cons",0.6014,0.4603,39,0.251,1.05405405405405
"11","LP_inc_cons",0.6699,0.002,2,0.002,0.0540540540540541
"12","LP_inc_cons",0.7129,0.0088,7,0.011,0.189189189189189
