"","method","mu_built_in","mu_emp","mod","nc","nc_norm","nmi"
"1","_cons_GL",0.0275,0.0255,0.9238,50,1.35135135135135,0.969
"2","_cons_LF",NA,NA,0.0092,50,1.35135135135135,1
"3","_cons_GL",0.0776,0.0668,0.8901,41,1.10810810810811,0.906
"4","_cons_LF",NA,NA,0.0035,41,1.10810810810811,1
"5","_cons_GL",0.1293,0.11,0.8453,44,1.18918918918919,0.879
"6","_cons_LF",NA,NA,0.001,44,1.18918918918919,1
"7","_cons_GL",0.1997,0.172,0.7814,42,1.13513513513514,0.79
"8","_cons_LF",NA,NA,0.005,42,1.13513513513514,1
"9","_cons_GL",0.244,0.2138,0.7383,36,0.972972972972973,0.735
"10","_cons_LF",NA,NA,0.004,36,0.972972972972973,1
"11","_cons_GL",0.3221,0.2644,0.688,45,1.21621621621622,0.659
"12","_cons_LF",NA,NA,0.926,45,1.21621621621622,1
"13","_cons_GL",0.3646,0.2996,0.6552,49,1.32432432432432,0.624
"14","_cons_LF",NA,NA,0.0111,49,1.32432432432432,1
"15","_cons_GL",0.4182,0.3555,0.5934,58,1.56756756756757,0.538
"16","_cons_LF",NA,NA,0.0049,58,1.56756756756757,1
"17","_cons_GL",0.4495,0.3809,0.5797,59,1.59459459459459,0.555
"18","_cons_LF",NA,NA,0.0056,59,1.59459459459459,1
"19","_cons_GL",0.6014,0.4477,0.5167,84,2.27027027027027,0.404
"20","_cons_LF",NA,NA,0.003,84,2.27027027027027,1
"21","_cons_GL",0.6699,0.4711,0.4938,79,2.13513513513514,0.355
"22","_cons_LF",NA,NA,-7e-04,79,2.13513513513514,1
"23","_cons_GL",0.7129,0.5079,0.4697,99,2.67567567567568,0.357
"24","_cons_LF",NA,NA,-0.0012,99,2.67567567567568,1
