"","method","mu_built_in","mu_emp","mod","nc","nc_norm","nmi"
"1","ML_g_cons",0.0275,0.027,0.9229,47,1.27027027027027,0.968
"2","ML_g_cons",0.0776,0.0771,0.8847,49,1.32432432432432,0.929
"3","ML_g_cons",0.1293,0.1298,0.8295,54,1.45945945945946,0.89
"4","ML_g_cons",0.1997,0.2076,0.7552,71,1.91891891891892,0.816
"5","ML_g_cons",0.244,0.2736,0.6944,75,2.02702702702703,0.783
"6","ML_g_cons",0.3221,0.3484,0.6175,101,2.72972972972973,0.672
"7","ML_g_cons",0.3646,0.3915,0.5768,115,3.10810810810811,0.634
"8","ML_g_cons",0.4182,0.4739,0.4999,159,4.2972972972973,0.58
"9","ML_g_cons",0.4495,0.4971,0.4754,163,4.40540540540541,0.557
"10","ML_g_cons",0.6014,0.5975,0.3855,239,6.45945945945946,0.466
"11","ML_g_cons",0.6699,0.6024,0.378,237,6.40540540540541,0.446
"12","ML_g_cons",0.7129,0.6396,0.3472,284,7.67567567567568,0.438
