"","method","mu_built_in","mu_emp","mod","nc","nc_norm","nmi"
"1","ML_high_cons",0.0275,0.0275,0.9228,54,1.45945945945946,0.968
"2","ML_high_cons",0.0776,0.0751,0.8857,54,1.45945945945946,0.928
"3","ML_high_cons",0.1293,0.1273,0.8319,69,1.86486486486486,0.889
"4","ML_high_cons",0.1997,0.2141,0.7496,103,2.78378378378378,0.814
"5","ML_high_cons",0.244,0.2711,0.6971,117,3.16216216216216,0.789
"6","ML_high_cons",0.3221,0.3569,0.6118,169,4.56756756756757,0.678
"7","ML_high_cons",0.3646,0.3939,0.5777,186,5.02702702702703,0.643
"8","ML_high_cons",0.4182,0.4888,0.4893,234,6.32432432432432,0.589
"9","ML_high_cons",0.4495,0.5078,0.4731,251,6.78378378378378,0.571
"10","ML_high_cons",0.6014,0.6164,0.3741,334,9.02702702702703,0.482
"11","ML_high_cons",0.6699,0.6214,0.3664,330,8.91891891891892,0.465
"12","ML_high_cons",0.7129,0.6563,0.3375,362,9.78378378378378,0.458
