"","method","mu_built_in","mu_emp","mod","nc","nc_norm","nmi"
"1","ML_inc_cons",0.0275,0.0255,0.9238,50,1.35135135135135,0.969
"2","ML_inc_cons",0.0776,0.0649,0.888,38,1.02702702702703,0.868
"3","ML_inc_cons",0.1293,0.108,0.8416,39,1.05405405405405,0.826
"4","ML_inc_cons",0.1997,0.1611,0.7853,33,0.891891891891892,0.723
"5","ML_inc_cons",0.244,0.2,0.7411,28,0.756756756756757,0.687
"6","ML_inc_cons",0.3221,0.257,0.6844,32,0.864864864864865,0.582
"7","ML_inc_cons",0.3646,0.2856,0.6567,36,0.972972972972973,0.535
"8","ML_inc_cons",0.4182,0.3451,0.5897,29,0.783783783783784,0.442
"9","ML_inc_cons",0.4495,0.3569,0.5794,33,0.891891891891892,0.423
"10","ML_inc_cons",0.6014,0.3982,0.531,31,0.837837837837838,0.258
"11","ML_inc_cons",0.6699,0.4231,0.5127,30,0.810810810810811,0.22
"12","ML_inc_cons",0.7129,0.4577,0.4909,40,1.08108108108108,0.246
