"","method","mu_built_in","mu_emp","mod","nc","nc_norm","nmi"
"1","ML_inc05_cons",0.0275,0.0255,0.9238,50,1.35135135135135,0.969
"2","ML_inc05_cons",0.0776,0.0698,0.8897,45,1.21621621621622,0.926
"3","ML_inc05_cons",0.1293,0.1109,0.8447,46,1.24324324324324,0.887
"4","ML_inc05_cons",0.1997,0.1734,0.7802,44,1.18918918918919,0.786
"5","ML_inc05_cons",0.244,0.2168,0.7398,44,1.18918918918919,0.77
"6","ML_inc05_cons",0.3221,0.2734,0.6857,55,1.48648648648649,0.701
"7","ML_inc05_cons",0.3646,0.3035,0.6536,60,1.62162162162162,0.634
"8","ML_inc05_cons",0.4182,0.3705,0.5868,74,2,0.587
"9","ML_inc05_cons",0.4495,0.3892,0.5761,73,1.97297297297297,0.564
"10","ML_inc05_cons",0.6014,0.4648,0.5057,108,2.91891891891892,0.432
"11","ML_inc05_cons",0.6699,0.498,0.4803,108,2.91891891891892,0.391
"12","ML_inc05_cons",0.7129,0.5241,0.458,131,3.54054054054054,0.382
