"","method","mu","mod","nc","nmi","nc_norm"
"1","WT_g_cons",0.0275,0.9049,77,0.899,2.08108108108108
"2","WT_g_cons",0.0776,0.8752,75,0.885,2.02702702702703
"3","WT_g_cons",0.1293,0.8106,100,0.827,2.7027027027027
"4","WT_g_cons",0.1997,0.7513,95,0.792,2.56756756756757
"5","WT_g_cons",0.244,0.7063,87,0.767,2.35135135135135
"6","WT_g_cons",0.3221,0.6292,115,0.65,3.10810810810811
"7","WT_g_cons",0.3646,0.5808,130,0.607,3.51351351351351
"8","WT_g_cons",0.4182,0.5274,144,0.561,3.89189189189189
"9","WT_g_cons",0.4495,0.5133,145,0.549,3.91891891891892
"10","WT_g_cons",0.6014,0.4472,135,0.407,3.64864864864865
"11","WT_g_cons",0.6699,0.3953,172,0.397,4.64864864864865
"12","WT_g_cons",0.7129,0.3918,199,0.404,5.37837837837838
